title,year,km,price,fuel,transmission,power,body_type,listing_date,url,source_page,kept,filter_reason
Škoda Kodiaq 1.5 TSI ACT Sportline DSG 110kW150HP A7,2021,160456,22900,Benzín,7-st. automatická,110,SUV / Off-road,2026-08-08T07:12:43.569Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-sportline-dsg-110kw150hp-a7/AepG9p2guyc/,1,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 1.5 TSI ACT Live Plus DSG 110kW150HP A7,2021,43196,24200,Benzín,Automatická,110,SUV / Off-road,2026-08-03T11:50:52.324Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-live-plus-dsg-110kw150hp-a7/AeGBd4SgCJY/,1,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 1.5 TSI ACT Ambition 110kW150HP M6,2023,180041,19900,Benzín,6-st. manuálna,110,SUV / Off-road,2026-08-08T07:12:43.569Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-ambition-110kw150hp-m6/AeKg_fV5zSQ/,1,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4,2018,112070,23990,Diesel,7-st. automatická,140,SUV,2026-08-10T11:40:32.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4/AmtnKZSApGG/,1,True,
Škoda Kodiaq Exlusive Selection 2.0 TDI 142KW | 7 miest | 4x4 | Matrix LED,2024,21945,52990,Diesel,7-st. automatická,142,SUV,2026-08-10T11:40:16.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-new-exclusive-selection-7seat-20-tdi-4x4-142kw-5d2024/AmRZHN-Okwp/,1,True,
Škoda Kodiaq Selection 142 kW 4x4 DSG | Matrix | ACC | Ťažné,2024,7452,45990,Diesel,7-st. automatická,142,SUV,2026-08-10T11:40:14.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-selection/AmyL60nBhoR/,1,True,
Škoda Kodiaq 1.5 TSI ACT Style DSG 110kW150HP A7,2023,142209,21900,Benzín,7-st. automatická,110,SUV / Off-road,2026-08-08T07:12:36.307Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-style-dsg-110kw150hp-a7/AeBgfdMFW-g/,1,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 2.0 TDI SCR STYLE DSG 110kW150HP A7,2017,194000,18300,Diesel,Automatic,110,SUV / Off-road,2026-08-10T17:03:00.323Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-ambition-dsg-110kw150hp-a7/AeiD_xIjkfg/,1,True,
Škoda Kodiaq Exclusive Selection 2.0 TDI 142KW 4x4,2024,10480,53390,Diesel,7-st. automatická,142,SUV,2026-08-10T13:30:12.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-new-exclusive-selection-2024-20-tdi-4x4-led-matrix/AmfLrsJr7DyO/,1,True,
Škoda Kodiaq 1.5 TSI ACT Sportline 110kW150HP M6,2021,172602,20900,Benzín,6-st. manuálna,110,SUV / Off-road,2026-08-08T07:12:43.569Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-sportline-110kw150hp-m6/Aep5AQY365s/,1,False,"fuel_mismatch(got=Benzín, want=Diesel)"
