source,listing_id,title,year,km,price,fuel,transmission,engine,power,body_type,listing_date,url,search_query,search_page,raw_description,filter_reason,year_source,km_source,fuel_source,transmission_source,engine_source,power_source,body_type_source
bazos,194152375,Škoda Kodiaq 7-miest 4x4 DSG 2.0TDi 110kw Matrix Keyless,2023.0,110000.0,26800,Diesel,Automatic,2.0 TDI,110.0,,11.8. 2026,https://auto.bazos.sk/inzerat/194152375/skoda-kodiaq-7-miest-4x4-dsg-20tdi-110kw-matrix-keyless.php,Škoda Kodiaq 2.0 TDI,1,"✅ Možnosť kúpy aj na splátky ✅ Modelový rok: 2023 Nájazd: 110 000km Motorizácia: 2.0 tdi 110kw Prevodovka: Automatická DSG Pohon: 4x4 Počet sedadiel: 7 Diesel Výbava: FULL LED svetlomety s funkciou MATRIX, bezkľúčový prístup a štartovanie - keyless go, parkovacia kamera, parkovacie se ...",,regex_description,regex_description,regex_description,regex_description,regex_description,regex_description,missing
bazos,194403802,Škoda Kodiaq 2.0 TDI 147kw 4x4 DSG,2021.0,176100.0,20990,Diesel,Automatic,2.0 TDI,147.0,SUV,11.8. 2026,https://auto.bazos.sk/inzerat/194403802/skoda-kodiaq-20-tdi-147kw-4x4-dsg.php,Škoda Kodiaq 2.0 TDI,1,ZÁKLADNÉ ÚDAJE: Palivo: Diesel Karoséria: SUV Rok výroby: 05/2021 Prevodovka: Automatická Objem motora: 1 968 cm3 Výkon: 147kW (200 PS) Kilometre: 176 100 km Pohon: 4x4 VÝBAVA & KOMFORT: Klimatizácia trojzónová Centrálne zamykanie Rádio Bezkľúčové otváranie dverí Bezkľúčové šta ...,,regex_description,regex_description,regex_description,regex_description,regex_title,regex_description,regex_description
bazos,194400045,"Škoda kodiaq L&K 2,0 TDI -147kw-4x4 -2024-37000km",2024.0,37000.0,36500,Diesel,,2.0 TDI,147.0,,11.8. 2026,https://auto.bazos.sk/inzerat/194400045/skoda-kodiaq-lk-147kw-4x4-2024-37000km.php,Škoda Kodiaq 2.0 TDI,1,"- Predám zachovalý kodiaq vo výbave Laurin & Klement vo FULL výbave. Auto je po 1. majiteľovi, garážované, servisované výhradne v autorizovanom servise (úplná servisná história). Nebúrané, nelakované. Základné údaje: •Rok výroby: 2024 •Motor: 2.0 tdi , 147 kW (200 k), 4x4 •Nájazd: 37000km •Farba ...",,regex_description,regex_description,regex_description,missing,regex_description,regex_description,missing
bazos,194394493,Škoda kodiaq 2.0tdi-DSG-rv:05/2022-137tis km—-FACELIFT—-,2022.0,137782.0,23300,Diesel,Automatic,2.0 TDI,110.0,,11.8. 2026,https://auto.bazos.sk/inzerat/194394493/skoda-kodiaq-20tdi-dsg-rv052022-137tis-km-facelift.php,Škoda Kodiaq 2.0 TDI,1,"📍 Poprad, Kukučínova 5782 ☎️ 0910 388 731 🔧Technické údaje: ✅Rok výroby: 20.5.2022 ✅Najazdené: 137 782 km ✅Motor: 2.0 tdi , diesel ✅Výkon: 110 kW ✅Objem motora: 1968 cm³ ✅Prevodovka: automatická 7-stupňová DSG ✅VIN: TMBJJ7NS4N8510705 ⭐Hlavné výhody a výbava: ✅FULL LED svetlomety-Dy ...",,regex_description,regex_description,regex_description,regex_description,regex_description,regex_description,missing
bazos,194337291,Skoda Kodiaq Sportline 2.0TDI 147Kw 4x4 Black Packet/Webasto,2023.0,138900.0,29399,Diesel,,2.0 TDI,147.0,Kombi,11.8. 2026,https://auto.bazos.sk/inzerat/194337291/skoda-kodiaq-sportline-20tdi-147kw-4x4-black-packetwebasto.php,Škoda Kodiaq 2.0 TDI,1,"☑️Škoda kodiaq Sportline 2.0 tdi 147Kw 4x4☑️ ✔️ Rv:03/2023 ✔️ Najazdené kilometre:138 900 ✔️ Výkon v kW:147 ✔️ Farba: Čierna metaliza ✔️ Edition Sportline 147Kw 4x4 ✔️ New Model Facelift Black Packet ☎️ Kontakt: 0949 775 995 ✔️Stav: Používané, Karoséria: Combi,Počet dverí: 5, Farba:Čier ...",,regex_description,regex_description,regex_description,missing,regex_description,regex_description,regex_description
bazos,194350252,Škoda Kodiaq RS 2.0 TDI 4X4  MATRIX PANORAMA 360°KAMERA,2021.0,160000.0,32900,Diesel,Automatic,2.0 TDI,180.0,,11.8. 2026,https://auto.bazos.sk/inzerat/194350252/skoda-kodiaq-rs-20tsi-4x4-matrix-panorama-360kamera.php,Škoda Kodiaq 2.0 TDI,1,"Škoda kodiaq RS 2.0 tdi 4X4 MATRIX PANORAMA 360°KAMERA CANTON RADAR DSG, 180kW Model: kodiaq RS Rok: 2021 Palivo: Diesel Prevodovka: 7-st. automatická Výkon: 180 kW/240PS Najazdené km: 160 000 km Pohon: 4x4 Farba: Strieborná / Metalíza Objem: 1984 cm3 Výbava: + Navigácia Adaptívne ...",,regex_description,regex_description,regex_description,regex_description,regex_description,regex_description,missing
bazos,194165722,ŠKODA KODIAQ 2.0 TDI DSG STYLE 7 MIEST PANO MATRIX 2023,2023.0,93097.0,27190,Diesel,Automatic,2.0 TDI,110.0,,11.8. 2026,https://auto.bazos.sk/inzerat/194165722/skoda-kodiaq-20-tdi-dsg-style-7-miest-pano-matrix-2022.php,Škoda Kodiaq 2.0 TDI,1,➡️ 1. prihlásenie: 02/2023 ➡️ Najazdené kilometre: 93 097 km ➡️ Motor: 2.0 tdi ➡️ Výkon: 110 kW (150 PS) ➡️ Prevodovka: automatická DSG (7-st.) ➡️ Pohon: predný náhon ➡️ Palivo: diesel ➡️ Farba: Lava Blue Metallic ➡️ Výbava: STYLE ➡️ Počet majiteľov: 1 ☎️ Kontakt: 0944 957 106 HLAVNÉ ...,,regex_description,regex_description,regex_description,regex_description,regex_description,regex_description,missing
bazos,194474448,Škoda KODIAQ 2.0TDi DSG 147kW/ 4x4/7MIEST/Matrix /Tažné,2023.0,100500.0,27250,Diesel,Automatic,2.0 TDI,147.0,,11.8. 2026,https://auto.bazos.sk/inzerat/194474448/skoda-kodiaq-20tdi-dsg-147kw-4x47miestmatrix-tazne.php,Škoda Kodiaq 2.0 TDI,1,"Škoda kodiaq Style r.v. 3/2023 2.0 . tdi , 147KW (200 PS) , 7° DSG vo farbe - Sedá tmavá metalíza a nájazdom Len 100.500 km.❗️ Niečo z výbavy : -7 MIESTNA VERZIA ❗️ - Virtuálny cockpit (možnosť meniť rôzne vzhľady) - LED Matrix svetlomety s vyrezávanim svetelného lúča - Dynamické smerovky - ...",,regex_description,regex_description,regex_description,regex_description,regex_title,regex_description,missing
bazos,194142178,Skoda kodiaq 2.0Tdi-DSG-RV:2023--150tis km---VIRTUAL---,2023.0,151812.0,23900,Diesel,Automatic,2.0 TDI,110.0,,11.8. 2026,https://auto.bazos.sk/inzerat/194142178/skoda-kodiaq-20tdi-dsg-rv2023-150tis-km-virtual.php,Škoda Kodiaq 2.0 TDI,1,"📍 Poprad, Kukučínova 5782 ☎️ 0910 388 731 🔧Technické údaje: ✅Rok výroby:18.1.2023 ✅Najazdené: 151 812 km ✅Motor: 2.0 tdi , diesel ✅Výkon: 110 kW ✅Objem motora: 1968 cm³ ✅Prevodovka: automatická 7-stupňová DSG ✅VIN: TMBJJ7NS1P8029250 ⭐Hlavné výhody a výbava: ✅Virtual Cockpit (Plne d ...",,regex_description,regex_description,regex_description,regex_description,regex_description,regex_description,missing
bazos,194137573,Škoda kodiaq 2.0tdi-DSG-rv:10/2021-130tis km—-FACELIFT—-,2021.0,130671.0,23900,Diesel,Automatic,2.0 TDI,110.0,,11.8. 2026,https://auto.bazos.sk/inzerat/194137573/skoda-kodiaq-20tdi-dsg-rv102021-130tis-km-facelift.php,Škoda Kodiaq 2.0 TDI,1,"📍 Poprad, Kukučínova 5782 ☎️ 0910 388 731 🔧Technické údaje: ✅Rok výroby: 5.10.2021 ✅Najazdené: 130 671 km ✅Motor: 2.0 tdi , diesel ✅Výkon: 110 kW ✅Objem motora: 1968 cm³ ✅Prevodovka: automatická 7-stupňová DSG ✅VIN: TMBJJ7NS7N8502629 ⭐Hlavné výhody a výbava: ✅FULL LED svetlomety-Dy ...",,regex_description,regex_description,regex_description,regex_description,regex_description,regex_description,missing
bazos,194137080,Skoda kodiaq 2.0Tdi-DSG-RV:2023--150tis km,2023.0,150039.0,23900,Diesel,Automatic,2.0 TDI,110.0,,11.8. 2026,https://auto.bazos.sk/inzerat/194137080/skoda-kodiaq-20tdi-dsg-rv2023-150tis-km.php,Škoda Kodiaq 2.0 TDI,1,"📍 Poprad, Kukučínova 5782 ☎️ 0910 388 731 🔧Technické údaje: ✅Rok výroby:21.2.2023 ✅Najazdené: 150 039 km ✅Motor: 2.0 tdi , diesel ✅Výkon: 110 kW ✅Objem motora: 1968 cm³ ✅Prevodovka: automatická 7-stupňová DSG ✅VIN: TMBJJ9NS4P8020764 ⭐Hlavné výhody a výbava: ✅Full led svetlomety-Dyn ...",,regex_description,regex_description,regex_description,regex_description,regex_description,regex_description,missing
