source,listing_id,title,brand,model,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,year_source,km_source,power_source,transmission_source,fuel_source,body_type_source,engine_source,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AmtnKZSApGG,Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4,Škoda,Kodiaq,2.0 TDI,Diesel,2018,112070,140,Automatic,SUV,23990,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4/AmtnKZSApGG/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AeEqAe0xHaN,Škoda Kodiaq Kodiaq 2.0 TDI SCR Style DSG 4x4 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2020,188100,110,Automatic,SUV / Off-road,23000,https://www.autobazar.eu/detail/skoda-kodiaq-kodiaq-20-tdi-scr-style-dsg-4x4-110kw150hp-a7/AeEqAe0xHaN/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmPdWS_OW08,Škoda Kodiaq 2.0 TDI SCR EVO 200 L&K 4x4 DSG,Škoda,Kodiaq,2.0 TDI,Diesel,2023,128677,147,Automatic,SUV,32990,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-landk-4x4-dsg/AmPdWS_OW08/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmweVYaOOqf,"Škoda Kodiaq 2.0 TDI 4x4 DSG Sportline, Pôvodný lak, SR",Škoda,Kodiaq,2.0 TDI,Diesel,2021,154160,147,Automatic,SUV,27999,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-4x4-dsg-sportline-povodny-lak-sr/AmweVYaOOqf/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmH1Qg2l3cH,"Škoda Kodiaq Sportline 2,0 TDI SCR EVO 147 kW 4x4 7AP DSG",Škoda,Kodiaq,,Diesel,2022,57966,147,Automatic,SUV,35490,https://www.autobazar.eu/detail/skoda-kodiaq-sportline-20-tdi-scr-evo-147-kw-4x4-7ap-dsg/AmH1Qg2l3cH/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmMtv6edmbV,"Škoda Kodiaq Style 2,0 TDI 110 kW  7AP DSG",Škoda,Kodiaq,,Diesel,2022,79367,110,Automatic,SUV,29490,https://www.autobazar.eu/detail/skoda-kodiaq-kodiaq-style-20-tdi-110-kw-7ap-dsg/AmMtv6edmbV/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AegXoj3Ouuw,Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2023,150039,110,Automatic,SUV / Off-road,23900,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110kw150hp-a7/AegXoj3Ouuw/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmEn1Yw6kdu,Škoda Kodiaq 2.0 TDI SCR EVO Style DSG,Škoda,Kodiaq,2.0 TDI,Diesel,2022,74707,110,Automatic,SUV,32500,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg/AmEn1Yw6kdu/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AeM4de50FE8,Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2022,143851,110,Automatic,SUV / Off-road,23900,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110kw150hp-a7/AeM4de50FE8/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AeBJvY0bvJL,Škoda Kodiaq 2.0 TDI SCR EVO LK DSG 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2022,117057,110,Automatic,SUV / Off-road,27990,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-lk-dsg-110kw150hp-a7/AeBJvY0bvJL/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmcMGRQjfWD,"Škoda Kodiaq 2.0 TDI Top Stav, Style, DSG",Škoda,Kodiaq,2.0 TDI,Diesel,2022,139800,110,Automatic,SUV,22800,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg/AmcMGRQjfWD/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmBf89_EGH4,Škoda Kodiaq 2.0 TDI Štýle Virtual 7 miestne,Škoda,Kodiaq,2.0 TDI,Diesel,2024,87600,110,Automatic,SUV,27990,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg/AmBf89_EGH4/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Ae243k3Ae3D,Škoda Kodiaq 2.0 TDI SCR Style DSG 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2018,120000,110,Automatic,SUV / Off-road,20000,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-style-dsg-110kw150hp-a7/Ae243k3Ae3D/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
