source,listing_id,title,brand,model,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,year_source,km_source,power_source,transmission_source,fuel_source,body_type_source,engine_source,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AmweVYaOOqf,"Škoda Kodiaq 2.0 TDI 4x4 DSG Sportline, Pôvodný lak, SR",Škoda,Kodiaq,2.0 TDI,Diesel,2021,154160,147,Automatic,SUV,27999,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-4x4-dsg-sportline-povodny-lak-sr/AmweVYaOOqf/,structured,structured,structured,structured,structured,structured,regex_title,match,match,match,match,match,n/a,n/a
autobazar,AeM4de50FE8,Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2022,143851,110,Automatic,SUV / Off-road,23900,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110kw150hp-a7/AeM4de50FE8/,structured,structured,structured,structured,structured,structured,regex_title,match,match,match,match,match,n/a,n/a
autobazar,AeBJvY0bvJL,Škoda Kodiaq 2.0 TDI SCR EVO LK DSG 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2022,117057,110,Automatic,SUV / Off-road,27990,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-lk-dsg-110kw150hp-a7/AeBJvY0bvJL/,structured,structured,structured,structured,structured,structured,regex_title,match,match,match,match,match,n/a,n/a
autobazar,AmcMGRQjfWD,"Škoda Kodiaq 2.0 TDI Top Stav, Style, DSG",Škoda,Kodiaq,2.0 TDI,Diesel,2022,139800,110,Automatic,SUV,22800,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg/AmcMGRQjfWD/,structured,structured,structured,structured,structured,structured,regex_title,match,match,match,match,match,n/a,n/a
autobazar,Aekmlifc04q,Škoda Kodiaq 2.0 TDI SCR EVO Joy Plus DSG 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2022,137782,110,Automatic,SUV / Off-road,23300,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-joy-plus-dsg-110kw150hp-a7/Aekmlifc04q/,structured,structured,structured,structured,structured,structured,regex_title,match,match,match,match,match,n/a,n/a
autobazar,Ae6qFauHQtu,Škoda Kodiaq 2.0 TDI SCR EVO Active DSG 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2021,130671,110,Automatic,SUV / Off-road,23900,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-active-dsg-110kw150hp-a7/Ae6qFauHQtu/,structured,structured,structured,structured,structured,structured,regex_title,match,match,match,match,match,n/a,n/a
autobazar,AeiKwMWMpZz,Škoda Kodiaq Škoda KodiaQ rv. 2020,Škoda,Kodiaq,,Diesel,2020,148000,176,Automatic,SUV / Combi,29900,https://www.autobazar.eu/detail/skoda-kodiaq-skoda-kodiaq-rv-2020/AeiKwMWMpZz/,structured,structured,structured,structured,structured,structured,regex_title,match,match,unknown,match,match,n/a,n/a
autobazar,Ae_Yc8JdD-u,Škoda Kodiaq 2.0 TDI SCR RS DSG 4x4 176kW239HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2020,137400,176,Automatic,SUV / Off-road,32900,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-rs-dsg-4x4-176kw239hp-a7/Ae_Yc8JdD-u/,structured,structured,structured,structured,structured,structured,regex_title,match,match,match,match,match,n/a,n/a
autobazar,AeE3HWTL-Iq,Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2020,113000,140,Automatic,SUV / Off-road,23990,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AeE3HWTL-Iq/,structured,structured,structured,structured,structured,structured,regex_title,match,match,match,match,match,n/a,n/a
autobazar,Aeo0mdiZG5G,Škoda Kodiaq 2.0 TDI SCR EVO 200 Style 4x4 DSG 147kW201HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2022,102000,147,Automatic,SUV / Off-road,28500,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-style-4x4-dsg-147kw201hp-a7/Aeo0mdiZG5G/,structured,structured,structured,structured,structured,structured,regex_title,match,match,match,match,match,n/a,n/a
