source,listing_id,title,brand,model,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,year_source,km_source,power_source,transmission_source,fuel_source,body_type_source,engine_source,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
bazos,194152375,Škoda Kodiaq 7-miest 4x4 DSG 2.0TDi 110kw Matrix Keyless,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,110000.0,110.0,Automatic,,26800,https://auto.bazos.sk/inzerat/194152375/skoda-kodiaq-7-miest-4x4-dsg-20tdi-110kw-matrix-keyless.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,194403802,Škoda Kodiaq 2.0 TDI 147kw 4x4 DSG,Škoda,Kodiaq,2.0 TDI,Diesel,2021.0,176100.0,147.0,Automatic,SUV,20990,https://auto.bazos.sk/inzerat/194403802/skoda-kodiaq-20-tdi-147kw-4x4-dsg.php,regex_description,regex_description,regex_description,regex_description,regex_description,regex_description,regex_title,match,match,n/a,match,match,n/a,n/a
bazos,194394493,Škoda kodiaq 2.0tdi-DSG-rv:05/2022-137tis km—-FACELIFT—-,Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,137782.0,110.0,Automatic,,23300,https://auto.bazos.sk/inzerat/194394493/skoda-kodiaq-20tdi-dsg-rv052022-137tis-km-facelift.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,194337291,Skoda Kodiaq Sportline 2.0TDI 147Kw 4x4 Black Packet/Webasto,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,138900.0,147.0,,Kombi,29399,https://auto.bazos.sk/inzerat/194337291/skoda-kodiaq-sportline-20tdi-147kw-4x4-black-packetwebasto.php,regex_description,regex_description,regex_description,missing,regex_description,regex_description,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,194350252,Škoda Kodiaq RS 2.0 TDI 4X4  MATRIX PANORAMA 360°KAMERA,Škoda,Kodiaq,2.0 TDI,Diesel,2021.0,160000.0,180.0,Automatic,,32900,https://auto.bazos.sk/inzerat/194350252/skoda-kodiaq-rs-20tsi-4x4-matrix-panorama-360kamera.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,194165722,ŠKODA KODIAQ 2.0 TDI DSG STYLE 7 MIEST PANO MATRIX 2023,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,93097.0,110.0,Automatic,,27190,https://auto.bazos.sk/inzerat/194165722/skoda-kodiaq-20-tdi-dsg-style-7-miest-pano-matrix-2022.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,194474448,Škoda KODIAQ 2.0TDi DSG 147kW/ 4x4/7MIEST/Matrix /Tažné,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,100500.0,147.0,Automatic,,27250,https://auto.bazos.sk/inzerat/194474448/skoda-kodiaq-20tdi-dsg-147kw-4x47miestmatrix-tazne.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_title,match,match,n/a,match,match,n/a,n/a
bazos,194142178,Skoda kodiaq 2.0Tdi-DSG-RV:2023--150tis km---VIRTUAL---,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,151812.0,110.0,Automatic,,23900,https://auto.bazos.sk/inzerat/194142178/skoda-kodiaq-20tdi-dsg-rv2023-150tis-km-virtual.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,194137573,Škoda kodiaq 2.0tdi-DSG-rv:10/2021-130tis km—-FACELIFT—-,Škoda,Kodiaq,2.0 TDI,Diesel,2021.0,130671.0,110.0,Automatic,,23900,https://auto.bazos.sk/inzerat/194137573/skoda-kodiaq-20tdi-dsg-rv102021-130tis-km-facelift.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,194137080,Skoda kodiaq 2.0Tdi-DSG-RV:2023--150tis km,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,150039.0,110.0,Automatic,,23900,https://auto.bazos.sk/inzerat/194137080/skoda-kodiaq-20tdi-dsg-rv2023-150tis-km.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
