source,listing_id,title,brand,model,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,year_source,km_source,power_source,transmission_source,fuel_source,body_type_source,engine_source,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
bazos,194394493,Škoda kodiaq 2.0tdi-DSG-rv:05/2022-137tis km—-FACELIFT—-,Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,137782.0,110.0,Automatic,,23300,https://auto.bazos.sk/inzerat/194394493/skoda-kodiaq-20tdi-dsg-rv052022-137tis-km-facelift.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,match,match,match,n/a,n/a
bazos,194137573,Škoda kodiaq 2.0tdi-DSG-rv:10/2021-130tis km—-FACELIFT—-,Škoda,Kodiaq,2.0 TDI,Diesel,2021.0,130671.0,110.0,Automatic,,23900,https://auto.bazos.sk/inzerat/194137573/skoda-kodiaq-20tdi-dsg-rv102021-130tis-km-facelift.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,match,match,match,n/a,n/a
bazos,194312707,ŠKODA KODIAQ 2.0 TDI STYLE DSG | 110 kW | 1/2022 | ODPOČET,Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,,110.0,Automatic,,22500,https://auto.bazos.sk/inzerat/194312707/skoda-kodiaq-20-tdi-style-dsg-110-kw-12022-odpocet.php,regex_description,missing,regex_description,regex_description,regex_description,missing,regex_description,match,match,match,match,unknown,n/a,n/a
bazos,194288066,Škoda Kodiaq Fcl 4x4 2.0 TDI 147kW 200k DSG Virtuál Ťažné,Škoda,Kodiaq,2.0 TDI,Diesel,,112933.0,147.0,Automatic,,26490,https://auto.bazos.sk/inzerat/194288066/skoda-kodiaq-fcl-4x4-20-tdi-147kw-200k-dsg-virtual-tazne.php,missing,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,match,unknown,match,n/a,n/a
bazos,194101190,Skoda kodiaq 2.0Tdi-DSG-RV:2022--143tis km-Panorama-Tažne---,Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,143851.0,110.0,Automatic,,23900,https://auto.bazos.sk/inzerat/194101190/skoda-kodiaq-20tdi-dsg-rv2022-143tis-km-panorama-tazne.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,match,match,match,n/a,n/a
bazos,194060314,Škoda Kodiaq 2.0TDi 200PS DSG 4x4 Clever Edition Matrix 360,Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,138200.0,147.0,Automatic,,28500,https://auto.bazos.sk/inzerat/194060314/skoda-kodiaq-20tdi-200ps-dsg-4x4-clever-edition-matrix-360.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,match,match,match,n/a,n/a
bazos,193958785,Škoda Kodiaq 2.0TDi DSG rok 2022 - Odpočet DPH -,Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,,,Automatic,,20999,https://auto.bazos.sk/inzerat/193958785/audi-a6-50-tfsi-e-quattro-plug-in-hybrid-2023-black-paket.php,regex_description,missing,missing,regex_description,regex_description,missing,regex_description,match,match,match,match,unknown,n/a,n/a
bazos,194384477,"✅️Škoda Kodiaq Sportline 2023 2.0TDI 147KW 4x4,Webas,Ťažné✅️",Škoda,Kodiaq,2.0 TDI,Diesel,,109000.0,147.0,,,33990,https://auto.bazos.sk/inzerat/194384477/skoda-kodiaq-sportline-2023-20tdi-147kw-4x4webastazne.php,missing,regex_description,regex_title,missing,regex_title,missing,regex_title,match,match,match,unknown,match,n/a,n/a
bazos,194346504,Škoda Kodiaq SPORTLINE 2022 2.0tdi 110kw DSG WEBASTO ŤAŽNÉ,Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,,110.0,Automatic,SUV,27990,https://auto.bazos.sk/inzerat/194346504/skoda-kodiaq-sportline-2022-20tdi-110kw-dsg-webasto-tazne.php,regex_description,missing,regex_description,regex_description,regex_description,regex_description,regex_description,match,match,match,match,unknown,n/a,n/a
bazos,194186650,"✅️Škoda Kodiaq L&K 2.0.TDI 147KW 4X4 ,2023,7-Miest,Ťažné✅️",Škoda,Kodiaq,,Diesel,,,147.0,,,33990,https://auto.bazos.sk/inzerat/194186650/skoda-kodiaq-lk-20tdi-147kw-4x4-20237-miestfull.php,missing,missing,regex_title,missing,regex_title,missing,missing,match,match,unknown,unknown,unknown,n/a,n/a
