source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
bazos,194137635,BMW X1,,,2018.0,,110.0,,SUV,14990.0,https://auto.bazos.sk/inzerat/194137635/bmw-x1.php,match,match,unknown,unknown,match,unknown,match,unknown
bazos,193962661,"Alu disky 18"" 5x112 ET45 MAM VW Audi Škoda BMW BFP",,,,,,,,570.0,https://auto.bazos.sk/inzerat/193962661/m4-alu-r18-5x112-audi-vw-seat-skoda-mercedes.php,match,match,unknown,unknown,unknown,unknown,unknown,unknown
bazos,194159099,"Disky 16"" 5x120 BMW 7Jx16 ET31 Uniwheels - sada 4 ks",,,,,,,,110.0,https://auto.bazos.sk/inzerat/194159099/disky-16-5x120-bmw-7jx16-et31-uniwheels-sada-4-ks.php,match,match,unknown,unknown,unknown,unknown,unknown,unknown
bazos,194263036,bmw 68mm krytky kolies,,,,,,,,20.0,https://auto.bazos.sk/inzerat/194263036/bmw-68mm-krytky-kolies.php,match,unknown,unknown,unknown,unknown,unknown,unknown,unknown
bazos,194418864,"Letná sada 5x112 R18 , 225/50/18 BMW X1 F48 X2 F39 Style 569",,,,,,,,599.0,https://auto.bazos.sk/inzerat/194418864/letna-sada-5x112-r18-2255018-bmw-x1-f48-x2-f39-style-569.php,match,match,unknown,unknown,unknown,unknown,unknown,unknown
bazos,193086648,Rozvodovka ATC 400 BMW X3 E83 xDrive VTG,,,,,,,,790.0,https://auto.bazos.sk/inzerat/193086648/rozvodovka-atc-400-bmw-x3-e83-xdrive-vtg.php,match,unknown,unknown,unknown,unknown,unknown,unknown,unknown
bazos,194366366,"474 - BMW X1 2.0 S-Drive 110kW, 2022,",,,,,110.0,Automatic,,21899.0,https://auto.bazos.sk/inzerat/194366366/474-bmw-x1-20-s-drive-110kw-2022.php,match,match,unknown,unknown,unknown,unknown,match,match
bazos,194298424,"Hliníkové disky 5x112 R17 Mini Cooper , BMW , Audi, VW",,,,,,,,349.0,https://auto.bazos.sk/inzerat/194298424/hlinikove-disky-5x112-r17-mini-cooper-bmw-audi-vw.php,match,match,unknown,unknown,unknown,unknown,unknown,unknown
bazos,194316389,BMW X1 sDrive 18i 140k xLine AT 103kW140HP A6,,Petrol,2017.0,122286.0,103.0,Automatic,SUV,15100.0,https://auto.bazos.sk/inzerat/194316389/bmw-x1-sdrive-18i-140k-xline-at-103kw140hp-a6.php,match,match,match,unknown,match,match,match,match
bazos,194290620,"BMW X1 E84, ľavé predné svetlo halogen, ORIGINAL",,,,,,,,30.0,https://auto.bazos.sk/inzerat/194290620/bmw-x1-e84-lave-predne-svetlo-halogen-original.php,match,match,unknown,unknown,unknown,unknown,unknown,unknown
