source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AmLKnbygZHz,Plynový pedal dacia duster 1.6 i 180026342r--c,,,,,,,,1,https://www.autobazar.eu/detail/plynovy-pedal-dacia-duster-16-i-180026342r-c/AmLKnbygZHz/,match,match,unknown,unknown,unknown,unknown,unknown,unknown
autobazar,AmIrL9g8WhGXp,Predny naraznik DACIA DUSTER 62022-0025R,,,,,,,,1,https://www.autobazar.eu/detail/predny-naraznik-dacia-duster-62022-0025r/AmIrL9g8WhGXp/,match,match,unknown,unknown,unknown,unknown,unknown,unknown
autobazar,AmOmukGSChK,Predný nárazník Dacia Duster II 2017-,,,,,,,,1,https://www.autobazar.eu/detail/predny-naraznik-dacia-duster-ii-2017/AmOmukGSChK/,match,match,unknown,unknown,unknown,unknown,unknown,unknown
autobazar,AbpM_-QDHZz,DACIA DUSTER&#45; AIRBAG,,,,,,,,1,https://www.autobazar.eu/detail/dacia-duster45-airbag/AbpM_-QDHZz/,match,match,unknown,unknown,unknown,unknown,unknown,unknown
autobazar,AmkEvPHNqbf,Motor Renault Dacia 1.6 16v H4MD7,,,,,,,,1,https://www.autobazar.eu/detail/motor-renault-dacia-16-16v-h4md7/AmkEvPHNqbf/,match,unknown,unknown,unknown,unknown,unknown,unknown,unknown
autobazar,AmTeuWeqquQ,Pravý blatník Dacia Duster II 2 17-,,,,,,,,1,https://www.autobazar.eu/detail/pravy-blatnik-dacia-duster-ii-2-17/AmTeuWeqquQ/,match,match,unknown,unknown,unknown,unknown,unknown,unknown
autobazar,AmZwaIrQFYI,Dacia Duster 1.6 4x4 zadný diferenciál,,,,,,,,1,https://www.autobazar.eu/detail/dacia-duster-16-4x4-zadny-diferencial/AmZwaIrQFYI/,match,match,unknown,unknown,unknown,unknown,unknown,unknown
autobazar,AmXSzX-Vfxjg,Panel kurenia dacia duster h79ph2 ac,,,,,,,,1,https://www.autobazar.eu/detail/panel-kurenia-dacia-duster-h79ph2-ac/AmXSzX-Vfxjg/,match,match,unknown,unknown,unknown,unknown,unknown,unknown
autobazar,AmS8frNnizxj,Dacia Duster 1.6 4x4 prevodovka a rozvodovka,,,,,,,,1,https://www.autobazar.eu/detail/dacia-duster-16-4x4-prevodovka-a-rozvodovka/AmS8frNnizxj/,match,match,unknown,unknown,unknown,unknown,unknown,unknown
autobazar,AmW52JZgoKvJ,Predám nárazníky Dacia,,,,,,,,1,https://www.autobazar.eu/detail/predam-narazniky-dacia/AmW52JZgoKvJ/,match,unknown,unknown,unknown,unknown,unknown,unknown,unknown
autobazar,AmmcZC1Lbrs,Dacia Duster,,,,,,,,5,https://www.autobazar.eu/detail/dacia-duster/AmmcZC1Lbrs/,match,match,unknown,unknown,unknown,unknown,unknown,unknown
autobazar,AmyQNZ_lPcL,"Dacia Duster 1,5DCI 79kw K9KJ8 / 1,6i 77kw K4MF6",,,,,,,,5,https://www.autobazar.eu/detail/dacia-duster-1-5dci-79kw-kod-motora-k9k-j8/AmyQNZ_lPcL/,match,match,unknown,unknown,unknown,unknown,unknown,unknown
autobazar,AmMIRsduMnR,"Dacia Duster 1,6i 77kw kód motora: K4M H6",,,,,,,,5,https://www.autobazar.eu/detail/dacia-duster-1-6i-77kw-kod-motora-k4m-h6/AmMIRsduMnR/,match,match,unknown,unknown,unknown,unknown,unknown,unknown
autobazar,AmaeAEx49-4,"Dacia Duster 1,6i 77kw kód: K4MF6",,,,,,,,5,https://www.autobazar.eu/detail/dacia-duster-rok-vyroby-2012/AmaeAEx49-4/,match,match,unknown,unknown,unknown,unknown,unknown,unknown
