source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AmnrqXXgiNli,TOYOTA AURIS AIRBAG SADA,,,,,,,,1,https://www.autobazar.eu/detail/toyota-auris-airbag-sada/AmnrqXXgiNli/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,Am2ovkInp-m,Toyota Auris zadné svetla,,,,,,,,1,https://www.autobazar.eu/detail/toyota-auris-zadne-svetla/Am2ovkInp-m/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,Aex4H_eudWw,Toyota Auris autorádio,,,,,,,,1,https://www.autobazar.eu/detail/toyota-auris-autoradio/Aex4H_eudWw/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,Am2KuWapdaDF,Toyota Auris 1.6 89661-02T40 MB275300-4192,,,,,,,,1,https://www.autobazar.eu/detail/toyota-auris-16-89661-02t40-mb275300-4192/Am2KuWapdaDF/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,AmOmxo4Jt_O,Zámok ľavé predné dvere Toyota Auris 2008,,,,,,,,1,https://www.autobazar.eu/detail/zamok-lave-predne-dvere-toyota-auris-2008/AmOmxo4Jt_O/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,Ae_BbGmzoT2q,Toyota auris bočný hlavový airbag ľavý,,,,,,,,1,https://www.autobazar.eu/detail/toyota-auris-bocny-hlavovy-airbag-lavy/Ae_BbGmzoT2q/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,AeRbE7xXiPB,Toyota Auris poistková skrinka,,,,,,,,1,https://www.autobazar.eu/detail/toyota-auris-poistkova-skrinka/AeRbE7xXiPB/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,AeywWxsMRwa,Toyota Auris spinacia skrinka,,,,,,,,1,https://www.autobazar.eu/detail/toyota-auris-spinacia-skrinka/AeywWxsMRwa/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,Am8b3QQe2P_,Toyota Auris 89650-02460 8965002460 6900001798,,,,,,,,1,https://www.autobazar.eu/detail/toyota-auris-89650-02460-8965002460-6900001798/Am8b3QQe2P_/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,AmtrAILZXmuo,Toyota Auris 89257-12010 499300-3341 8925712010,,,,,,,,1,https://www.autobazar.eu/detail/toyota-auris-89257-12010-499300-3341-8925712010/AmtrAILZXmuo/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,Ami_0Dm8W7w,ABS Toyota Auris 0265800827 0265232154 44510-02230,,,,,,,,1,https://www.autobazar.eu/detail/abs-toyota-auris-0265800827-0265232154-44510-02230/Ami_0Dm8W7w/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,Am9etQNmWpO,Rozpredám na diely Toyota Auris 1.4 4ZZ-FE,,,,,,,,1,https://www.autobazar.eu/detail/rozpredam-na-diely-toyota-auris-14-4zz-fe/Am9etQNmWpO/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,AmWJWIzbpc9,Toyota Auris 1.4 0261201209 89661-02E90 8966102E90,,,,,,,,1,https://www.autobazar.eu/detail/toyota-auris-14-0261201209-89661-02e90-8966102e90/AmWJWIzbpc9/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,Am-f84dD3vx,Zámok ľavé zadné dvere Toyota Auris 2008,,,,,,,,1,https://www.autobazar.eu/detail/zamok-lave-zadne-dvere-toyota-auris-2008/Am-f84dD3vx/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,AmGF_wXmq6-8t,Čelo stena sahara TOYOTA AURIS 2017,,,,,,,,1,https://www.autobazar.eu/detail/celo-stena-sahara-toyota-auris-2017/AmGF_wXmq6-8t/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,Am0eD6zGCG6Ij,Zadný nárazník spojler TOYOTA  AURIS 2020 6PDC,,,,,,,,1,https://www.autobazar.eu/detail/zadny-naraznik-spojler-toyota-auris-2020-6pdc/Am0eD6zGCG6Ij/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,AmRI6JdQYeva2,Zadny naraznik TOYOTA AURIS II 12-> 52159-02840,,,,,,,,1,https://www.autobazar.eu/detail/zadny-naraznik-toyota-auris-ii-12-52159-02840/AmRI6JdQYeva2/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,AeMP7rpJ__lu,Toyota Auris posilňovač riadenia,,,,,,,,1,https://www.autobazar.eu/detail/toyota-auris-posilnovac-riadenia/AeMP7rpJ__lu/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
autobazar,AeC8gqeVMNRu,Toyota Auris páčky,,,,,,,,1,https://www.autobazar.eu/detail/toyota-auris-packy/AeC8gqeVMNRu/,match,match,unknown,n/a,unknown,unknown,unknown,n/a
