row_index,brand,model,fuel,year,km,power_kw,inventory_price_eur,source,comparable_count,market_median,market_p25,market_p75,estimated_market_price,confidence,insufficient_sample,unknown_year_km_frac,price_difference,undervaluation_pct,cross_source_note,example_links,retrieval_error
61,Kia,Sportage,Diesel,2019,141000,100.0,11800,autobazar,2,7970.0,4210.0,11730.0,7970.0,low,True,0.5,-3830.0,-48.1,91% median spread AB vs BZ,https://www.autobazar.eu/detail/kia-sportage-16-crdi-at-gold-slovenske-vozidlo/Am694YQ_UKR/ | https://www.autobazar.eu/detail/repasovana-prevodovka-kia-sportage-2010-2015/AewDMIjxB0h/,
61,Kia,Sportage,Diesel,2019,141000,100.0,11800,bazos,3,690.0,670.0,5095.0,690.0,low,True,1.0,-11110.0,-1610.1,91% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194313946/kia-sportage-2016-automatparkamera.php | https://auto.bazos.sk/inzerat/194317906/disky-tomason-tn20-18-5x1143-et45-kia-hyundai-toyota.php | https://auto.bazos.sk/inzerat/194474339/kia-k5-gt-line-mazda-6-gta-5x1143-r18-hyundai-i20n-i30-i40.php,
41,Dacia,Duster,Petrol,2024,24000,109.0,17600,autobazar,14,1.0,1.0,4.0,1.0,medium,False,1.0,-17599.0,-1759900.0,99% median spread AB vs BZ,https://www.autobazar.eu/detail/plynovy-pedal-dacia-duster-16-i-180026342r-c/AmLKnbygZHz/ | https://www.autobazar.eu/detail/predny-naraznik-dacia-duster-62022-0025r/AmIrL9g8WhGXp/ | https://www.autobazar.eu/detail/predny-naraznik-dacia-duster-ii-2017/AmOmukGSChK/,
41,Dacia,Duster,Petrol,2024,24000,109.0,17600,bazos,10,122.5,82.5,305.0,122.5,medium,False,1.0,-17477.5,-14267.3,99% median spread AB vs BZ,https://auto.bazos.sk/inzerat/192912832/dacia-duster-12-tce-130-mhev-4x4-journey.php | https://auto.bazos.sk/inzerat/193603740/dacia-duster-4x4-16-benzinkupene-v-sr.php | https://auto.bazos.sk/inzerat/194465550/dacia-duster-snorchel.php,
0,Hyundai,I30,Petrol,2023,122000,88.0,11600,autobazar,1,13000.0,13000.0,13000.0,13000.0,low,True,0.0,1400.0,10.8,63% median spread AB vs BZ,https://www.autobazar.eu/detail/hyundai-i30-10-t-gdi-family-automat-sr2maj/AexjIfdhNIHq/,
0,Hyundai,I30,Petrol,2023,122000,88.0,11600,bazos,7,4800.0,465.0,10862.5,4800.0,low,False,0.57,-6800.0,-141.7,63% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194153887/hyundai-i30-2015-16-benzin-88-kw.php | https://auto.bazos.sk/inzerat/194317906/disky-tomason-tn20-18-5x1143-et45-kia-hyundai-toyota.php | https://auto.bazos.sk/inzerat/194403340/naraznik-maska-hyundai-i30-iii.php,
3,Honda,Jazz,Petrol,2017,84748,74.0,6000,autobazar,22,2.5,2.0,9.0,2.5,medium,False,1.0,-5997.5,-239900.0,100% median spread AB vs BZ,https://www.autobazar.eu/detail/honda-jazz-2014-2017-naprava/AezeBEe2U9G6/ | https://www.autobazar.eu/detail/honda-jazz-naprava-rv2008-2012/Ae15LwVnd9az/ | https://www.autobazar.eu/detail/honda-jazz-45-airbag-sada/AbkLKogV_yFIG/,
3,Honda,Jazz,Petrol,2017,84748,74.0,6000,bazos,9,2500.0,25.0,5500.0,2500.0,medium,False,1.0,-3500.0,-140.0,100% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194466090/predam-naraznik-maska-svetlo-honda-jazz-2002-2008.php | https://auto.bazos.sk/inzerat/194447245/rozpredam-honda-jazz.php | https://auto.bazos.sk/inzerat/194437363/nahradni-dily-honda-jazz-3-2010.php,
4,Toyota,Rav4,Hybrid,2019,93545,,17000,autobazar,16,1.0,1.0,1.0,1.0,medium,False,1.0,-16999.0,-1699900.0,100% median spread AB vs BZ,https://www.autobazar.eu/detail/vystuha-naraznika-toyota-rav4/AecGhj_MbWA/ | https://www.autobazar.eu/detail/posilnovac-brzd-valec-87502206-toyota-rav4-05/AeePS5dNRZW/ | https://www.autobazar.eu/detail/bsi-toyota-rav4-7l12-1801-82730-42020-32739-7k27/Amwb1Z9qeQi/,
4,Toyota,Rav4,Hybrid,2019,93545,,17000,bazos,13,950.0,590.0,5350.0,950.0,medium,False,0.93,-16050.0,-1689.5,100% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194317906/disky-tomason-tn20-18-5x1143-et45-kia-hyundai-toyota.php | https://auto.bazos.sk/inzerat/194465680/evo-wing-bar-toyota-rav4.php | https://auto.bazos.sk/inzerat/194004541/toyota-rav4.php,
