source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
bazos,193232204,"Hyundai i30CW 1,4TGDi 2020",,Petrol,2020.0,51500.0,103.0,Manual,Kombi,12999.0,https://auto.bazos.sk/inzerat/193232204/hyundai-i30cw-14tgdi-2020.php,match,match,match,n/a,match,match,match,n/a
bazos,193646042,Hyundai i30 CW 1.6 GDI 99 kW | 2013 | 110 000 km,,,,110000.0,99.0,,Kombi,7500.0,https://auto.bazos.sk/inzerat/193646042/hyundai-i30-cw-16-gdi-99-kw-2013-110-000-km.php,match,match,unknown,n/a,unknown,match,match,n/a
bazos,194370618,"Hyundai i30 CW 1.5 T-GDi mHEV Family DCT, odpopčet DPH",,Petrol,2022.0,106955.0,118.0,Automatic,,15190.0,https://auto.bazos.sk/inzerat/194370618/hyundai-i30-cw-15-t-gdi-mhev-family-dct-odpopcet-dph.php,match,match,match,n/a,match,match,match,n/a
bazos,194354609,Hyundai i30 CW 1.5i CVVT Comfort,,Petrol,2021.0,90119.0,81.0,,,13900.0,https://auto.bazos.sk/inzerat/194354609/hyundai-i30-cw-15i-cvvt-comfort.php,match,match,match,n/a,match,match,match,n/a
bazos,194131136,"Hyundai i30 CW 1.0 T-GDi Family, Pôvodný lak, 137 420km, SR",,Petrol,2023.0,137420.0,88.0,,,10990.0,https://auto.bazos.sk/inzerat/194131136/hyundai-i30-cw-10-t-gdi-family-povodny-lak-137-420km-sr.php,match,match,match,n/a,match,match,match,n/a
bazos,194160059,"Hyundai i30 CW 1.0 T-GDi Comfort, v Záruke, Pôvodný lak, SR",,Petrol,2022.0,120255.0,88.0,,,10990.0,https://auto.bazos.sk/inzerat/194160059/hyundai-i30-cw-10-t-gdi-comfort-v-zaruke-povodny-lak-sr.php,match,match,match,n/a,match,match,match,n/a
bazos,194341987,"Hyundai i30 CW 1.5 T-GDi mHEV iMT Family, v Záruke, SR",,Petrol,2021.0,104445.0,118.0,,,13990.0,https://auto.bazos.sk/inzerat/194341987/hyundai-i30-cw-15-t-gdi-mhev-imt-family-v-zaruke-sr.php,match,match,match,n/a,match,match,match,n/a
bazos,194369715,Hyundai i30 WG 1.5T-GDi 117kW AUTOMAT STYLE DPH ZÁRUKA,,,2023.0,147130.0,117.0,Automatic,,14453.0,https://auto.bazos.sk/inzerat/194369715/hyundai-i30-wg-15t-gdi-117kw-automat-style-dph-zaruka.php,match,match,unknown,n/a,match,match,match,n/a
bazos,194368942,Hyundai i30 WG 1.0T-GDi 88kW ČR DPH TAŽNÉ KLIMA,,,2023.0,129673.0,88.0,,,10735.0,https://auto.bazos.sk/inzerat/194368942/hyundai-i30-wg-10t-gdi-88kw-cr-dph-tazne-klima.php,match,match,unknown,n/a,match,match,match,n/a
bazos,194368790,Hyundai i30 WG 1.0T-GDi 88kW COMFORT DPH ČR 1MAJITEL,,,2023.0,172200.0,88.0,,,10322.0,https://auto.bazos.sk/inzerat/194368790/hyundai-i30-wg-10t-gdi-88kw-comfort-dph-cr-1majitel.php,match,match,unknown,n/a,match,match,match,n/a
bazos,194366061,Hyundai i30 WG 1.0T-GDi 88kW 1MAJITEL ČR DPH SERVISKA,,,2022.0,178109.0,88.0,,,8670.0,https://auto.bazos.sk/inzerat/194366061/hyundai-i30-wg-10t-gdi-88kw-1majitel-cr-dph-serviska.php,match,match,unknown,n/a,match,match,match,n/a
