source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AeEi7xXqd0r,Volkswagen Passat 2.0 TDI Comfortline DSG 103kW140HP A6,2.0 TDI,Diesel,2007,260200.0,103,Automatic,Sedan,2490,https://www.autobazar.eu/detail/volkswagen-passat-20-tdi-comfortline-dsg-103kw140hp-a6/AeEi7xXqd0r/,match,match,match,n/a,match,match,match,n/a
autobazar,Am9frNiPE7b,Volkswagen Passat 2.0 TDI Highline DPF,2.0 TDI,Diesel,2009,252000.0,103,Manual,Sedan,2499,https://www.autobazar.eu/detail/volkswagen-passat-20-tdi-highline-dpf/Am9frNiPE7b/,match,match,match,n/a,match,match,match,n/a
autobazar,AmluCHch2xS,Volkswagen Passat 2.0 TDI BLUE MOTION 110k DPF Sportline,2.0 TDI,Diesel,2009,176000.0,81,Manual,Sedan,5150,https://www.autobazar.eu/detail/volkswagen-passat-20-tdi-blue-motion-110k-dpf-sportline/AmluCHch2xS/,match,match,match,n/a,match,match,match,n/a
autobazar,AmSxpL5Qjop,"VW Passat 1.9 TDI, Automat, po STK, Klima",1.9 TDI,Diesel,2004,269462.0,96,Automatic,Sedan,1600,https://www.autobazar.eu/detail/vw-passat-19-tdi-automat-po-stk-klima/AmSxpL5Qjop/,match,match,match,n/a,match,match,match,n/a
autobazar,AmtM6FKh521,"VW Passat 2.0 TDI, Klíma, Tempomat",2.0 TDI,Diesel,2008,339015.0,103,Manual,Sedan,1700,https://www.autobazar.eu/detail/vw-passat-20-tdi-klima-tempomat/AmtM6FKh521/,match,match,match,n/a,match,match,match,n/a
autobazar,AmdW3Rp4ufX,"VW Passat 2.0 TDI, 4X4, nová STK, levný provoz",2.0 TDI,Diesel,2007,505676.0,103,Manual,Sedan,1700,https://www.autobazar.eu/detail/vw-passat-20-tdi-4x4-nova-stk/AmdW3Rp4ufX/,match,match,match,n/a,match,match,match,n/a
autobazar,Aeu5b42QQiR,Volkswagen Passat 2.0 TDI Comfortline 125kW170HP M6,2.0 TDI,Diesel,2007,325000.0,125,Manual,Sedan,2399,https://www.autobazar.eu/detail/volkswagen-passat-20-tdi-comfortline-125kw170hp-m6/Aeu5b42QQiR/,match,match,match,n/a,match,match,match,n/a
autobazar,AeNAdFSowB9,Volkswagen Passat 2.0 TDi,2.0 TDI,Diesel,2006,258000.0,103,Manual,Sedan,59000,https://www.autobazar.eu/detail/volkswagen-passat-20-tdi/AeNAdFSowB9/,match,match,match,n/a,match,match,match,n/a
autobazar,AebOydk2sCM,Volkswagen Passat 2.0 TDi 4x4,2.0 TDI,Diesel,2006,227890.0,103,Manual,Sedan,59900,https://www.autobazar.eu/detail/volkswagen-passat-20-tdi-4x4/AebOydk2sCM/,match,match,match,n/a,match,match,match,n/a
autobazar,AmWRJRgWwnd,"VW Passat 2.0 TDI Comfortline, SR,2.maj, Klíma",2.0 TDI,Diesel,2007,357748.0,103,Manual,Sedan,2500,https://www.autobazar.eu/detail/vw-passat-20-tdi-comfortline-sr2maj-klima/AmWRJRgWwnd/,match,match,match,n/a,match,match,match,n/a
autobazar,Am7E4F_UgUO,Volkswagen Passat 2.0 TDI Comfortline,2.0 TDI,Diesel,2007,368000.0,103,Manual,Sedan,3290,https://www.autobazar.eu/detail/volkswagen-passat-20-tdi-comfortline/Am7E4F_UgUO/,match,match,match,n/a,match,match,match,n/a
autobazar,AeRFEPn6xD-,Volkswagen Passat 1.9 TDi,1.9 TDI,Diesel,2004,207000.0,95,Manual,Limuzína,65000,https://www.autobazar.eu/detail/volkswagen-passat-19-tdi/AeRFEPn6xD-/,match,match,match,n/a,match,match,match,n/a
autobazar,Aeh_B-SCuha,"VW Passat 2.0 TDI, Highline, Koža, Xenóny",2.0 TDI,Diesel,2006,253868.0,103,Manual,Sedan,3300,https://www.autobazar.eu/detail/vw-passat-20-tdi-highline-koza-xenony/Aeh_B-SCuha/,match,match,match,n/a,match,match,match,n/a
