row_index,brand,model,fuel,year,km,power_kw,inventory_price_eur,source,comparable_count,outliers_trimmed,market_median,market_p25,market_p75,estimated_market_price,confidence,insufficient_sample,unknown_year_km_frac,price_difference,undervaluation_pct,tier_used,tier_counts,cross_source_note,example_links,retrieval_error
61,Kia,Sportage,Diesel,2019,141000,100.0,11800,autobazar,9,0,15490.0,12990.0,21990.0,15490.0,high,False,0.0,3690.0,23.8,broad,str:2/mod:3/bro:9,23% median spread AB vs BZ,https://www.autobazar.eu/detail/kia-sportage-16-crdi-gt-line-4x4-automat-sr/AefF07Pr7C8/ | https://www.autobazar.eu/detail/kia-sportage-17-crdi-navigacia-klima-tempomat/AeDorSBV5Cj/ | https://www.autobazar.eu/detail/kia-sportage-16-crdi-mhev-gold-4wd-at/AmqivipkEO0/,
61,Kia,Sportage,Diesel,2019,141000,100.0,11800,bazos,5,0,11999.0,10990.0,11999.0,11999.0,low,False,0.6,199.0,1.7,broad,str:0/mod:2/bro:5,23% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194376967/kia-sportage-17-crdi-silver.php | https://auto.bazos.sk/inzerat/194392876/kia-sportage-2022-16-crdi-mhev-neburane.php | https://auto.bazos.sk/inzerat/194373637/kia-sportage-17-crdi-2wd-gold.php,
41,Dacia,Duster,Petrol,2024,24000,109.0,17600,autobazar,2,0,15095.0,14047.5,16142.5,15095.0,low,True,0.0,-2505.0,-16.6,broad,str:0/mod:1/bro:2,14% median spread AB vs BZ,https://www.autobazar.eu/detail/dacia-duster-13-tce-150-extreme-4x2-edc/AelDbsPlLjG/ | https://www.autobazar.eu/detail/dacia-duster-tce-96-ss-gpf-celebration-4x4-96kw130hp-m6/Ae-WUTVZ3pm/,
41,Dacia,Duster,Petrol,2024,24000,109.0,17600,bazos,1,0,17499.0,17499.0,17499.0,17499.0,low,True,0.0,-101.0,-0.6,broad,str:0/mod:1/bro:1,14% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194251533/dacia-duster-13-tce-4x4-journey-47-930kmslovenske-vozidlo.php,
0,Hyundai,I30,Petrol,2023,122000,88.0,11600,autobazar,5,1,15490.0,12500.0,15490.0,15490.0,medium,False,0.0,3890.0,25.1,broad,str:1/mod:3/bro:6,29% median spread AB vs BZ,https://www.autobazar.eu/detail/hyundai-i30-rv-20225-15l-81kw-odpocet-dph-zaruka-3roky/AeQ6rKyfStD/ | https://www.autobazar.eu/detail/hyundai-i30-15i-cvvt-comfort/AmCLHBbUbDL/ | https://www.autobazar.eu/detail/hyundai-i30-16-t-gdi-7dct/AmWAxeZjTi_/,
0,Hyundai,I30,Petrol,2023,122000,88.0,11600,bazos,4,0,10990.0,10926.25,11717.5,10990.0,medium,False,0.0,-610.0,-5.6,moderate,str:3/mod:4/bro:12,29% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194354609/hyundai-i30-cw-15i-cvvt-comfort.php | https://auto.bazos.sk/inzerat/194131136/hyundai-i30-cw-10-t-gdi-family-povodny-lak-137-420km-sr.php | https://auto.bazos.sk/inzerat/194160059/hyundai-i30-cw-10-t-gdi-comfort-v-zaruke-povodny-lak-sr.php,
3,Honda,Jazz,Petrol,2017,84748,74.0,6000,autobazar,3,0,6900.0,6600.0,11950.0,6900.0,low,True,0.0,900.0,13.0,broad,str:0/mod:0/bro:3,10% median spread AB vs BZ,https://www.autobazar.eu/detail/honda-jazz-12-i-vtec-sr2maj-servkniha-klima/Aeu4ack3AfZ/ | https://www.autobazar.eu/detail/honda-jazz-12-i-vtec-sr2maj-servkniha-klima/AeGP-GnmS9X/ | https://www.autobazar.eu/detail/honda-jazz-15-i-vtec-dynamic/AmINI7SdreX/,
3,Honda,Jazz,Petrol,2017,84748,74.0,6000,bazos,4,0,7695.0,6242.5,9050.0,7695.0,low,False,1.0,1695.0,22.0,broad,str:0/mod:1/bro:4,10% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194471063/honda-jazz-13-benzin.php | https://auto.bazos.sk/inzerat/194375924/honda-jazz.php | https://auto.bazos.sk/inzerat/194325548/honda-jazz-13-i-vtec-trend.php,
4,Toyota,Rav4,Hybrid,2019,93545,,17000,autobazar,9,0,29990.0,27990.0,32000.0,29990.0,high,False,0.0,12990.0,43.3,broad,str:1/mod:2/bro:9,10% median spread AB vs BZ,https://www.autobazar.eu/detail/toyota-rav4-25-hybrid-e-cvt-selection-fwd-131kw176hp-a1/AevJbDwVFCg/ | https://www.autobazar.eu/detail/toyota-rav4-25-hybrid-e-cvt-awd-comfort-povodny-lak-92-260km-sr/AmFzGwgwvn_/ | https://www.autobazar.eu/detail/toyota-rav4-25-hybrid-e-cvt-black-edition-awd-131kw176hp-a1/AeFmmK5bOim/,
4,Toyota,Rav4,Hybrid,2019,93545,,17000,bazos,3,0,26900.0,16125.0,27945.0,26900.0,low,True,0.33,9900.0,36.8,broad,str:1/mod:1/bro:3,10% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194004541/toyota-rav4.php | https://auto.bazos.sk/inzerat/194372892/toyota-rav4-25-hybrid-e-cvt-awd-comfort-povodny-lak-sr.php | https://auto.bazos.sk/inzerat/193577804/toyota-rav4-25hybrid-awd-executive-4x4-top-stav.php,
6,Toyota,Auris,Hybrid,2015,150000,72.0,7200,autobazar,4,0,12822.5,11872.5,13483.75,12822.5,medium,False,0.0,5622.5,43.8,moderate,str:0/mod:4/bro:8,43% median spread AB vs BZ,https://www.autobazar.eu/detail/toyota-auris-18-i-vvt-i-hybridsd-active-family-73kw99hp-a1/Ae4sVj12Z3P/ | https://www.autobazar.eu/detail/toyota-auris-2017/AeySZuKHjOt/ | https://www.autobazar.eu/detail/toyota-auris-18-hybridkameraaut-klima/AbxWRyFgaZE/,
6,Toyota,Auris,Hybrid,2015,150000,72.0,7200,bazos,3,0,7300.0,6900.0,8650.0,7300.0,low,True,0.67,100.0,1.4,broad,str:1/mod:2/bro:3,43% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194454129/toyota-auris-14-66kw-d4d.php | https://auto.bazos.sk/inzerat/194399342/predam-toyota-auris-hybrid-2014-s-lpg-plyn.php | https://auto.bazos.sk/inzerat/194370682/toyota-auris-combi-18-hybrid.php,
21,Renault,Mégane,PHEV,2020,99000,118.0,11500,autobazar,0,0,,,,,none,True,1.0,,,broad,str:0/mod:0/bro:0,,,
21,Renault,Mégane,PHEV,2020,99000,118.0,11500,bazos,1,0,15990.0,15990.0,15990.0,15990.0,low,True,1.0,4490.0,28.1,broad,str:1/mod:1/bro:1,,https://auto.bazos.sk/inzerat/194451324/renault-megane-13-tce-160-rsline-edc-117kw-2020.php,
77,VW,ID.3,Electric,2021,213000,150.0,9000,autobazar,9,0,17500.0,16800.0,19000.0,17500.0,high,False,0.0,8500.0,48.6,moderate,str:1/mod:9/bro:28,7% median spread AB vs BZ,https://www.autobazar.eu/detail/volkswagen-id3-performance-upgrade-58kwh-1st-plus/AmNZRcesrGo/ | https://www.autobazar.eu/detail/volkswagen-id3-pro-150kw-alu-18-acc-full-led/Am53lCK6XEh/ | https://www.autobazar.eu/detail/volkswagen-id3-performance-upgrade-58kwh-1st/AmAGz58aLBS/,
77,VW,ID.3,Electric,2021,213000,150.0,9000,bazos,4,0,16195.0,15597.5,16998.5,16195.0,medium,False,0.0,7195.0,44.4,moderate,str:2/mod:4/bro:8,7% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194283868/volkswagen-id3-1st-plus-150kw-soh-926.php | https://auto.bazos.sk/inzerat/194316467/vw-id3-1st-edition-150kw-62kwh-2020.php | https://auto.bazos.sk/inzerat/194072870/vw-id-3-1-st-150-kw.php,
14,BMW,X1,Petrol,2018,119000,102.0,11500,autobazar,2,0,16550.0,15825.0,17275.0,16550.0,low,True,0.0,5050.0,30.5,broad,str:2/mod:2/bro:2,9% median spread AB vs BZ,https://www.autobazar.eu/detail/bmw-x1-sdrive-18i-140k-xline-at-103kw140hp-a6/AeNbL8OsfPl/ | https://www.autobazar.eu/detail/bmw-x1-sdrive-18i-at-103kw140hp-a7/AeQsVgfz4x8/,
14,BMW,X1,Petrol,2018,119000,102.0,11500,bazos,3,1,15100.0,15045.0,15449.5,15100.0,low,True,0.75,3600.0,23.8,broad,str:2/mod:2/bro:4,9% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194137635/bmw-x1.php | https://auto.bazos.sk/inzerat/194436274/bmw-x1-f48-x2-f39-orig-18-letna-sada.php | https://auto.bazos.sk/inzerat/193462843/ford-ranger-limited-22tdci-doublecab-duratorq-4x4.php,
57,VW,Passat,Diesel,2006,386000,103.0,900,autobazar,7,1,2490.0,1700.0,2895.0,2490.0,medium,False,0.0,1590.0,63.9,moderate,str:0/mod:8/bro:14,83% median spread AB vs BZ,https://www.autobazar.eu/detail/volkswagen-passat-20-tdi-comfortline-dsg-103kw140hp-a6/AeEi7xXqd0r/ | https://www.autobazar.eu/detail/vw-passat-19-tdi-automat-po-stk-klima/AmSxpL5Qjop/ | https://www.autobazar.eu/detail/vw-passat-20-tdi-klima-tempomat/AmtM6FKh521/,
57,VW,Passat,Diesel,2006,386000,103.0,900,bazos,3,0,14499.0,9199.5,15244.5,14499.0,low,True,0.67,13599.0,93.8,broad,str:0/mod:1/bro:3,83% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194432957/vw-passat-b85-20-tdi-110-kw-dsg.php | https://auto.bazos.sk/inzerat/193817915/volkswagen-passat-variant-20-tdi-dsg103-kw-2-sady-kolies.php | https://auto.bazos.sk/inzerat/193956701/volkswagen-passat-b8-combi-dsg-20-tdi-90kw.php,
