source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AmNZRcesrGo,Volkswagen ID.3 Performance Upgrade 58kWh 1st Plus,,Electric,2020,134140,150,Automatic,Hatchback,17500,https://www.autobazar.eu/detail/volkswagen-id3-performance-upgrade-58kwh-1st-plus/AmNZRcesrGo/,match,match,match,n/a,match,match,match,n/a
autobazar,AeY7aXwaJzH,Volkswagen ID.3 Performance Upgrade 58kWh 1st Max 150kW204HP A1,,Electric,2021,91000,150,Automatic,Hatchback,19450,https://www.autobazar.eu/detail/volkswagen-id3-performance-upgrade-58kwh-1st-max-150kw204hp-a1/AeY7aXwaJzH/,match,match,match,n/a,match,match,match,n/a
autobazar,AekhXzjXWs8,Volkswagen ID.3 Pro Performance 58kWh 150kW Odpočet DPH,,Electric,2020,90500,150,Automatic,Hatchback,20295,https://www.autobazar.eu/detail/volkswagen-id3-pro-performance-58kwh-150kw-odpocet-dph/AekhXzjXWs8/,match,match,match,n/a,match,match,match,n/a
autobazar,AeTkpGFp9kG,Volkswagen ID.3 58kWh 150kW LED Matrix Odpočet DPH,,Electric,2020,117295,150,Automatic,Hatchback,19557,https://www.autobazar.eu/detail/volkswagen-id3-58kwh-150kw-led-matrix-odpocet-dph/AeTkpGFp9kG/,match,match,match,n/a,match,match,match,n/a
autobazar,Am53lCK6XEh,Volkswagen ID.3 Pro 150kW /  ALU 18'' / ACC / Full Led,,Electric,2020,128423,150,Automatic,Hatchback,18400,https://www.autobazar.eu/detail/volkswagen-id3-pro-150kw-alu-18-acc-full-led/Am53lCK6XEh/,match,match,match,n/a,match,match,match,n/a
autobazar,Am5si3yMrpJ,Volkswagen ID.3 Pro 150kW / ALU 19'',,Electric,2021,88327,150,Automatic,Hatchback,21370,https://www.autobazar.eu/detail/volkswagen-id3-pro-150kw-alu-19/Am5si3yMrpJ/,match,match,match,n/a,match,match,match,n/a
autobazar,AmbVCZqGm8P,Volkswagen ID.3 Pro 150kW / Panorama / IQ. Lights / ALU,,Electric,2021,121747,150,Automatic,Hatchback,21453,https://www.autobazar.eu/detail/volkswagen-id3-pro-150kw-panorama-iq-lights-alu/AmbVCZqGm8P/,match,match,match,n/a,match,match,match,n/a
autobazar,AmZf073AFae,Volkswagen ID.3 Pro 150kW 62 kWh / Matrix LED / ACC / 2 sady kol,,Electric,2021,91222,150,Automatic,Hatchback,21948,https://www.autobazar.eu/detail/volkswagen-id3-pro-150kw-62-kwh-matrix-led-acc-2-sady-kol/AmZf073AFae/,match,match,match,n/a,match,match,match,n/a
autobazar,AmAGz58aLBS,Volkswagen ID.3 Performance Upgrade 58kWh 1st,,Electric,2020,159136,150,Automatic,Hatchback,16390,https://www.autobazar.eu/detail/volkswagen-id3-performance-upgrade-58kwh-1st/AmAGz58aLBS/,match,match,match,n/a,match,match,match,n/a
autobazar,Am93GUo6y5X,Volkswagen ID.3 62kWh 1.ST Pro Performance,,Electric,2020,134000,150,Automatic,Liftback,16499,https://www.autobazar.eu/detail/volkswagen-id3-62kwh-1st-pro-performance/Am93GUo6y5X/,match,match,match,n/a,match,match,match,n/a
