source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AeLg31KFRhl,"Suzuki Vitara SUZUKI VITARA ALLGRIP 1,4 BoosterJet, AT",,Petrol,2019,91300,103,Automatic,SUV,15400,https://www.autobazar.eu/detail/suzuki-vitara-suzuki-vitara-allgrip-14-boosterjet-at/AeLg31KFRhl/,match,match,match,n/a,match,match,match,n/a
autobazar,AmqbrOOq3ZX,"Suzuki Vitara 1.6 VVTremium , ČR,1.maj, Serv.kniha",,Petrol,2018,100456,88,Manual,SUV,13200,https://www.autobazar.eu/detail/suzuki-vitara-16-vvtremium-cr1maj-servkniha/AmqbrOOq3ZX/,match,match,match,n/a,match,match,match,n/a
autobazar,Ae97YkHKLzC,"Suzuki Vitara 1.6 VVT, Automat, SR,1.maj",,Petrol,2018,103634,88,Automatic,SUV,13900,https://www.autobazar.eu/detail/suzuki-vitara-16-vvt-automat-sr1maj/Ae97YkHKLzC/,match,match,match,n/a,match,match,match,n/a
autobazar,AmN6BlP5NR-,"Suzuki Vitara 1.0 BoosterJet, Automat, Serv.kniha",,Petrol,2018,82118,82,Automatic,SUV,14100,https://www.autobazar.eu/detail/suzuki-vitara-10-boosterjet-automat-servkniha/AmN6BlP5NR-/,match,match,match,n/a,match,match,match,n/a
autobazar,Am9X62HD-B8,"Suzuki Vitara 1.4 BoosterJet, Automat, ČR,2.maj",,Petrol,2019,96486,103,Automatic,SUV,14100,https://www.autobazar.eu/detail/suzuki-vitara-14-boosterjet-automat-cr2maj/Am9X62HD-B8/,match,match,match,n/a,match,match,match,n/a
autobazar,AmGB_dtEO6l,"Suzuki Vitara 1,0i Boosterjet 82kw AT/6",,Petrol,2019,64028,82,Automatic,SUV,14199,https://www.autobazar.eu/detail/suzuki-vitara-10i-boosterjet-82kw-at6/AmGB_dtEO6l/,match,match,match,n/a,match,match,match,n/a
autobazar,AeLuWvCLSR6,Suzuki Vitara 1.4 BoosterJet Premium AllGrip 103kW140HP M6,,Petrol,2019,96000,103,Manual,Hatchback,14500,https://www.autobazar.eu/detail/suzuki-vitara-14-boosterjet-premium-allgrip-103kw140hp-m6/AeLuWvCLSR6/,match,match,match,n/a,match,match,match,n/a
autobazar,AmhmwErrIZx,"Suzuki Vitara 1.4 BoosterJetElegance , LPG, Serv.kniha",,Petrol,2020,101762,95,Manual,SUV,14500,https://www.autobazar.eu/detail/suzuki-vitara-14-boosterjetelegance-lpg-servkniha/AmhmwErrIZx/,match,match,match,n/a,match,match,match,n/a
autobazar,Ae8xJfva4Um,"Suzuki Vitara 1.4 BoosterJet, SR,2.maj, Serv.kniha, Klíma",,Petrol,2021,66161,95,Manual,SUV,14600,https://www.autobazar.eu/detail/suzuki-vitara-14-boosterjet-sr2maj-servkniha-klima/Ae8xJfva4Um/,match,match,match,n/a,match,match,match,n/a
autobazar,Am5A4QxNlAg,Suzuki Vitara 1.4 BoosterJet Premium AllGrip A/T,,Petrol,2018,79021,103,Automatic,SUV,14700,https://www.autobazar.eu/detail/suzuki-vitara-14-boosterjet-premium-allgrip-at/Am5A4QxNlAg/,match,match,match,n/a,match,match,match,n/a
autobazar,AeMPcPxs4s1,Suzuki Vitara 1.4 Premium Hybrid,,Petrol,2020,103300,95,Manual,SUV,358999,https://www.autobazar.eu/detail/suzuki-vitara-14-premium-hybrid/AeMPcPxs4s1/,match,match,match,n/a,match,match,match,n/a
autobazar,Amr1UElHhCP,"Suzuki Vitara 1.6 VVT, ČR,1.maj, Serv.kniha, Kůže",,Petrol,2018,97690,88,Manual,SUV,14900,https://www.autobazar.eu/detail/suzuki-vitara-16-vvt-cr1maj-servkniha-kuze/Amr1UElHhCP/,match,match,match,n/a,match,match,match,n/a
autobazar,AmaHf-zCj2J,"Suzuki Vitara 1.4 BoosterJet, Automat, ČR,1.maj",,Petrol,2018,67093,103,Automatic,SUV,14900,https://www.autobazar.eu/detail/suzuki-vitara-14-boosterjet-automat-cr1maj/AmaHf-zCj2J/,match,match,match,n/a,match,match,match,n/a
