source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AmbUEAm1cje,Audi Q3 na prenájom,,Diesel,2015,94000,135,Automatic,SUV,990,https://www.autobazar.eu/detail/audi-q3-na-prenajom/AmbUEAm1cje/,match,match,match,n/a,match,match,match,n/a
autobazar,Am1agC8mP7N,Audi Q3 2.0 TDI quattro S tronic 184 k Basis,2.0 TDI,Diesel,2016,192047,135,Automatic,SUV,13999,https://www.autobazar.eu/detail/audi-q3-20-tdi-quattro-s-tronic-184-k-basis/Am1agC8mP7N/,match,match,match,n/a,match,match,match,n/a
autobazar,AmXWC1XVhFZ,Audi Q3 2.0 TDI quattro S tronic 184 k Basis,2.0 TDI,Diesel,2016,190500,135,Automatic,SUV,15999,https://www.autobazar.eu/detail/audi-q3-20-tdi-quattro-s-tronic-184-k-basis/AmXWC1XVhFZ/,match,match,match,n/a,match,match,match,n/a
autobazar,AmsG0fVHxAc,Audi Q3 2.0 TDI 150k quattro S tronic Design,2.0 TDI,Diesel,2015,222000,110,Automatic,SUV,13999,https://www.autobazar.eu/detail/audi-q3-20-tdi-150k-quattro-s-tronic-design/AmsG0fVHxAc/,match,match,match,n/a,match,match,match,n/a
autobazar,Ambt-97oeQw,"Audi Q3 2.0 TDI, 4X4, Navi, Tempomat",2.0 TDI,Diesel,2015,121215,110,Manual,SUV,14100,https://www.autobazar.eu/detail/audi-q3-20-tdi-4x4-navi-tempomat/Ambt-97oeQw/,match,match,match,n/a,match,match,match,n/a
autobazar,AmnO7QDNGkl,Audi Q3 2.0 TDI 150k quattro Design,2.0 TDI,Diesel,2016,147733,110,Manual,SUV,16290,https://www.autobazar.eu/detail/audi-q3-20-tdi-150k-quattro-design/AmnO7QDNGkl/,match,match,match,n/a,match,match,match,n/a
autobazar,Am6BBywGitJ,"Audi Q3 2.0 TDI, 4X4, Automat, Kůže, Navi",2.0 TDI,Diesel,2016,109473,135,Automatic,SUV,14500,https://www.autobazar.eu/detail/audi-q3-20-tdi-4x4-automat-kuze-navi/Am6BBywGitJ/,match,match,match,n/a,match,match,match,n/a
autobazar,AmGhCIDuakL,Audi Q3 2.0 TDI quattro S tronic 184 k Sport,2.0 TDI,Diesel,2015,221000,135,Automatic,SUV,14990,https://www.autobazar.eu/detail/audi-q3-20-tdi-quattro-s-tronic-184-k-sport/AmGhCIDuakL/,match,match,match,n/a,match,match,match,n/a
autobazar,Am6QojBqkb1,Audi Q3 2.0 TDI quattro S tronic 184 k Sport,2.0 TDI,Diesel,2015,195000,135,Automatic,SUV,16700,https://www.autobazar.eu/detail/audi-q3-20-tdi-quattro-s-tronic-184-k-sport/Am6QojBqkb1/,match,match,match,n/a,match,match,match,n/a
autobazar,AmQX8jnt1A2,Audi Q3 2.0 TDI 150k quattro S tronic Basis,2.0 TDI,Diesel,2016,177764,110,Automatic,SUV,15500,https://www.autobazar.eu/detail/audi-q3-20-tdi-150k-quattro-s-tronic-basis/AmQX8jnt1A2/,match,match,match,n/a,match,match,match,n/a
autobazar,AbgCmWWzs6n,Audi Q3 35TDI VIRTUAL NAV ACC KAMERA,,Diesel,2020,197497,110,Automatic,SUV / Off-road,21978,https://www.autobazar.eu/detail/audi-q3-35tdi-virtual-nav-acc-kamera/AbgCmWWzs6n/,match,match,match,n/a,match,match,match,n/a
