source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,Abfci_y-Zg9,"Toyota C-HR 1,8 Hybrid",,Hybrid,2019,82826,90,Automatic,SUV / Off-road,17490,https://www.autobazar.eu/detail/toyota-c-hr-18-hybrid/Abfci_y-Zg9/,match,match,match,unknown,match,match,n/a,match
autobazar,AeO3tldDkIX,Toyota C-HR 1.8 Hybrid Executive E-CVT FWD 72kW98HP A1,,Hybrid,2018,81045,72,Automatic,Hatchback,16299,https://www.autobazar.eu/detail/toyota-c-hr-2018/AeO3tldDkIX/,match,match,match,unknown,match,match,n/a,match
autobazar,AmBOAs4Uw9x,"Toyota C-HR 1.8 HybridSelection , Automat",,Hybrid,2018,118135,90,Automatic,Iné,16500,https://www.autobazar.eu/detail/toyota-c-hr-18-hybridselection-automat/AmBOAs4Uw9x/,match,match,match,unknown,match,match,n/a,match
autobazar,AmHBMSBRYZt,Toyota C-HR 1.8 Hybrid Dynamic E-CVT FWD,,Hybrid,2018,82984,72,Automatic,Hatchback,17690,https://www.autobazar.eu/detail/toyota-c-hr-18-hybrid-dynamic-e-cvt-fwd/AmHBMSBRYZt/,match,match,match,unknown,match,match,n/a,match
autobazar,AeOwDoB7nw-,"Toyota C-HR 1.8 Hybrid, Style, Automat, SR,2.maj",,Hybrid,2019,88165,90,Automatic,Iné,17000,https://www.autobazar.eu/detail/toyota-c-hr-18-hybrid-style-automat-sr2maj/AeOwDoB7nw-/,match,match,match,unknown,match,match,n/a,match
autobazar,AmIffNJO1z4,"Toyota C-HR 1.8 Hybrid Selection E-CVT FWD, LED, Kamera, Mŕtvy uhol",,Hybrid,2018,110689,72,Automatic,Hatchback,17290,https://www.autobazar.eu/detail/toyota-c-hr-18-hybrid-selection-e-cvt-fwd-led-kamera-mrtvy-uhol/AmIffNJO1z4/,match,match,match,unknown,match,match,n/a,match
autobazar,AePC6SnSWNX,"Toyota C-HR 1.8 Hybrid, Selection, Automat",,Hybrid,2018,98977,90,Automatic,Iné,17600,https://www.autobazar.eu/detail/toyota-c-hr-18-hybrid-selection-automat/AePC6SnSWNX/,match,match,match,unknown,match,match,n/a,match
autobazar,AmsdeMvHuA4,"Toyota C-HR 1.8 Hybrid,",,Hybrid,2019,96625,90,Automatic,Iné,17800,https://www.autobazar.eu/detail/toyota-c-hr-18-hybrid/AmsdeMvHuA4/,match,match,match,unknown,match,match,n/a,match
autobazar,Amhww1m1Hx2,"Toyota C-HR 1.8 Hybrid,",,Hybrid,2018,84999,90,Automatic,Iné,17800,https://www.autobazar.eu/detail/toyota-c-hr-18-hybrid/Amhww1m1Hx2/,match,match,match,unknown,match,match,n/a,match
autobazar,Ab2c3VA2_gI,Toyota C-HR 1.8 Hybrid Executive,,Hybrid,2018,96215,103,Automatic,SUV / Off-road,18190,https://www.autobazar.eu/detail/toyota-c-hr-18-hybrid-executive/Ab2c3VA2_gI/,match,match,match,unknown,match,match,n/a,match
autobazar,AmnbEd7vEOs,"Toyota C-HR 1.8 HybridComfort ,",,Hybrid,2019,92803,90,Automatic,Iné,18900,https://www.autobazar.eu/detail/toyota-c-hr-18-hybridcomfort/AmnbEd7vEOs/,match,match,match,unknown,match,match,n/a,match
