row_index,brand,model,fuel,year,inventory_price_eur,ab_comparable_count,bz_comparable_count,missing_critical_fields,confidence_flag,confidence_reasons,ab_retrieval_error,bz_retrieval_error
1,Nissan,X-Trail,Petrol,2020,12950,2,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=1)",,
5,Subaru,Impreza,Petrol,2019,11000,0,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",,
10,Volkswagen,Golf Sportsvan,Petrol,2018,13000,3,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=3, BZ n=0)",,
12,Skoda,Superb,Petrol,2019,16000,0,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",,
13,Nissan,Qashqai,Petrol,2022,18500,3,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=3, BZ n=1)",,
14,BMW,X1,Petrol,2018,11500,2,3,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=3)",,
15,Volkswagen,Passat,Petrol,2017,10800,0,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",,
16,Nissan,Qashqai,Petrol,2018,7000,2,3,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=3)",,
21,Renault,Mégane,PHEV,2020,11500,0,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",,
23,Toyota,Verso,Petrol,2018,7100,2,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=0)",,
24,VW,Golf,PHEV,2018,9900,0,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",,
25,Mazda,Cx-5,Petrol,2022,22300,3,2,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=3, BZ n=2)",,
29,Nissan,Qashqai,Petrol,2021,13000,3,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=3, BZ n=1)",,
33,BMW,X3,Petrol,2019,20000,2,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=1)",,
37,BMW,3 Series,Petrol,2019,13500,0,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",category slug bmw/3-series 404 -> keyword fallback,
41,Dacia,Duster,Petrol,2024,17600,2,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=1)",,
42,Peugeot,3008,Hybrid,2020,15000,0,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",,
43,Mercedes,Gla-Class,Petrol,2017,9800,0,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",category slug mercedes-benz/gla-class 404 -> keyword fallback,BLOCKED: Unexpected HTTP 404 for 'https://auto.bazos.sk/?hledat=Mercedes+Gla-Class&hlokalita=&humkreis=25&cenaod=&cenado=&crp=20'.
49,Audi,A5,Petrol,2016,7500,0,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",,
51,Mercedes,B-Class,Petrol,2015,6800,0,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",category slug mercedes-benz/b-class 404 -> keyword fallback,
58,Peugeot,2008,Petrol,2014,2500,2,3,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=3)",,
63,Opel,Zafira,Petrol,2016,7200,1,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=1, BZ n=1)",,
64,Suzuki,Vitara,Petrol,2023,15500,3,2,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=3, BZ n=2)",,
71,Toyota,Corolla,Hybrid,2019,16300,2,3,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=3)",,
73,BMW,3 Series,Petrol,2019,14000,0,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",category slug bmw/3-series 404 -> keyword fallback,
75,Renault,Austral,Petrol,2024,21500,5,1,none,MEDIUM,"single usable source (AB 5/BZ 1); no cross-check; sample n=5, data complete",,BLOCKED: Unexpected HTTP 404 for 'https://auto.bazos.sk/?hledat=Renault+Austral&hlokalita=&humkreis=25&cenaod=&cenado=&crp=40'.
78,BMW,2 Series,Petrol,2020,9000,0,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",category slug bmw/2-series 404 -> keyword fallback,BLOCKED: Unexpected HTTP 404 for 'https://auto.bazos.sk/?hledat=BMW+2+Series&hlokalita=&humkreis=25&cenaod=&cenado=&crp=40'.
82,Volkswagen,Passat,Petrol,2018,8500,1,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=1, BZ n=0)",,
87,Mercedes,A-Class,Petrol,2017,9500,0,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",category slug mercedes-benz/a-class 404 -> keyword fallback,
89,Nissan,Qashqai,Petrol,2021,13500,2,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=1)",,
93,Kia,Xceed,Hybrid,2021,15000,3,2,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=3, BZ n=2)",,
