row_index,brand,model,variant,fuel,year,km,power_kw,inventory_price_eur,ab_comparable_count,ab_median_eur,ab_price_diff_pct,bz_comparable_count,bz_median_eur,bz_price_diff_pct,ab_vs_bz_pct_gap,median_spread_pct,rank_source,rank_price_diff_pct,confidence_flag,sample_sufficient,missing_critical_fields,ab_tier,bz_tier,confidence_reasons,ab_example_links,bz_example_links
74,BMW,318d,"Touring 2,0 D 143HK Stc 6g",Diesel,2009,388000,105.0,1600,5,5000.0,68.0,6,6199.5,74.2,-6.2,19.3,bazos,74.2,MEDIUM,True,none,moderate,broad,"moderate source disagreement 19%; sample n=6, data complete",https://www.autobazar.eu/detail/bmw-rad-3-touring-318d-touring-105kw143hp-m6/Ae0CUmJiSG-/ | https://www.autobazar.eu/detail/bmw-rad-3-318d/Am1D4R8EZpE/ | https://www.autobazar.eu/detail/bmw-rad-3-touring-318d/Am26qrOEzdL/,https://auto.bazos.sk/inzerat/194071361/bmw-e91-318d-m-paket-sport-edition.php | https://auto.bazos.sk/inzerat/194368185/bmw-e91-320d-m47.php | https://auto.bazos.sk/inzerat/193710607/predam-bmw-318d-e91.php
57,VW,Passat,"2,0 TDI DSG 140HK 6g Aut.",Diesel,2006,386000,103.0,900,7,2490.0,63.9,3,14499.0,93.8,-29.9,82.8,autobazar,63.9,MEDIUM,True,none,moderate,broad,"single usable source (AB 7/BZ 3); no cross-check; sample n=7, data complete",https://www.autobazar.eu/detail/volkswagen-passat-20-tdi-comfortline-dsg-103kw140hp-a6/AeEi7xXqd0r/ | https://www.autobazar.eu/detail/vw-passat-19-tdi-automat-po-stk-klima/AmSxpL5Qjop/ | https://www.autobazar.eu/detail/vw-passat-20-tdi-klima-tempomat/AmtM6FKh521/,https://auto.bazos.sk/inzerat/194432957/vw-passat-b85-20-tdi-110-kw-dsg.php | https://auto.bazos.sk/inzerat/193817915/volkswagen-passat-variant-20-tdi-dsg103-kw-2-sady-kolies.php | https://auto.bazos.sk/inzerat/193956701/volkswagen-passat-b8-combi-dsg-20-tdi-90kw.php
5,Subaru,Impreza,2.0 154HP Automatic Active,Petrol,2019,66220,113.0,11000,0,,,1,28800.0,61.8,,,bazos,61.8,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=0, BZ n=1)",,https://auto.bazos.sk/inzerat/194408768/subaru-impreza-wtx-sti-white-edition.php
58,Peugeot,2008,"1,2 VTi Allure 82HK",Petrol,2014,180000,60.0,2500,2,6695.0,62.7,3,6200.0,59.7,3.0,7.4,bazos,59.7,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=2, BZ n=3)",https://www.autobazar.eu/detail/peugeot-2008-12-vti-active-60kw82hp-m5/AeSg-ctzA5u/ | https://www.autobazar.eu/detail/peugeot-2008-12-puretech-active-12-puretech-82k/Amnkw6vUXmI/,https://auto.bazos.sk/inzerat/194394327/predam-peugeot-2008-12.php | https://auto.bazos.sk/inzerat/194112517/peugeot-2008rok-2015-automat-12-benzin-puretech.php | https://auto.bazos.sk/inzerat/194462919/peugeot-2008-12-puretech-automat-lita-kola-navi-tazne-zar.php
87,Mercedes,A-Class,1.6 155HP Automatic A 200,Petrol,2017,154000,114.0,9500,0,,,1,22900.0,58.5,,,bazos,58.5,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=0, BZ n=1)",,https://auto.bazos.sk/inzerat/193082786/mercedes-benz-a-220d-amg.php
28,Dacia,Duster,"1,5 DCi Ambiance 90HK 5d 6g",Diesel,2014,280000,66.0,2300,8,5450.0,57.8,3,7999.0,71.2,-13.4,31.9,autobazar,57.8,MEDIUM,True,none,broad,broad,"single usable source (AB 8/BZ 3); no cross-check; sample n=8, data complete",https://www.autobazar.eu/detail/dacia-duster-15-dci/Aeyml9vL7iY/ | https://www.autobazar.eu/detail/dacia-duster-15-dci/AmkQLZhUBJb/ | https://www.autobazar.eu/detail/dacia-duster-15-dci-park-senzory/Amel9_puXaS/,https://auto.bazos.sk/inzerat/194045923/dacia-duster-16-16v-blackwhite-4x4.php | https://auto.bazos.sk/inzerat/194380312/dacia-duster-15-dci-4x4-exception.php | https://auto.bazos.sk/inzerat/194334196/2017-dacia-duster-16i-84kw123-500km-nova-stk-72028.php
50,Ford,S-Max,1.5 159HP Manual Titanium,Petrol,2017,330000,117.0,3800,0,,,4,8644.5,56.0,,,bazos,56.0,LOW,True,none,broad,broad,50% of comparables missing year/km; best sample n=4,,https://auto.bazos.sk/inzerat/194260239/predam-ford-s-max-2019-rv-20-tdci-st-line.php | https://auto.bazos.sk/inzerat/194465832/ford-s-max-20i-107kw-titanium-odp-dph-7-mist.php | https://auto.bazos.sk/inzerat/194451786/ford-s-max-20-tdci-110kw-at6-7-miestne.php
22,Opel,Insignia,"Sports Tourer 2,0 CDTI Edition Start/Stop 140HK Stc 6g",Diesel,2014,343000,103.0,2400,8,5200.0,53.8,7,6250.0,61.6,-7.8,16.8,autobazar,53.8,MEDIUM,True,none,moderate,broad,"moderate source disagreement 17%; sample n=8, data complete",https://www.autobazar.eu/detail/opel-insignia-20-cdti-servkniha-nova-stk-tazne/AmKLctYEp3a/ | https://www.autobazar.eu/detail/opel-insignia-20-cdti-servkniha-xenony-tempomat/AmzCevluhom/ | https://www.autobazar.eu/detail/opel-insignia-20-cdti-servkniha-navigacia/AeXVK5kpZw7/,https://auto.bazos.sk/inzerat/193983003/opel-insignia-20-diesel.php | https://auto.bazos.sk/inzerat/193925567/opel-insignia-st-20-cdti-at6-2015.php | https://auto.bazos.sk/inzerat/194476359/opel-insignia-st-2013.php
19,Audi,Q3,1.4 tfsi 150HP man.,Petrol,2018,96000,110.0,10800,6,22347.0,51.7,1,32499.0,66.8,-15.1,31.2,autobazar,51.7,MEDIUM,True,none,moderate,broad,"single usable source (AB 6/BZ 1); no cross-check; sample n=6, data complete",https://www.autobazar.eu/detail/audi-q3-14-tfsi-s-tronic-110kw150hp/AecOWTHiHpq/ | https://www.autobazar.eu/detail/audi-q3-35-tfsi-automat-servkniha/AerwjvgAeZj/ | https://www.autobazar.eu/detail/audi-q3-35-15-tfsi-mhev-s-tronic/AmsoP4mvIqi/,https://auto.bazos.sk/inzerat/193369896/audi-q3-sportback-40-20tfsi-140kw-quattroslinematrix.php
59,Opel,Astra,"1,0 Turbo Enjoy 105HK 5d",Petrol,2017,179000,77.0,3200,6,6400.0,50.0,6,7700.0,58.4,-8.4,16.9,autobazar,50.0,MEDIUM,True,none,moderate,broad,"moderate source disagreement 17%; sample n=6, data complete",https://www.autobazar.eu/detail/opel-astra-10-turbo-enjoy-automat-koza-klima/AeTy0eiUQgx/ | https://www.autobazar.eu/detail/opel-astra-14-16v-active-klima-tempomat/AechXyLn76l/ | https://www.autobazar.eu/detail/opel-astra-14-t-enjoy-sr1maj-servkniha/AeBahZVYeGV/,https://auto.bazos.sk/inzerat/194160763/opel-astra-sport-tourer-st-12-turbo.php | https://auto.bazos.sk/inzerat/194290699/opel-astra-12-96kw-2020-m6-150tkm.php | https://auto.bazos.sk/inzerat/194460919/opel-astra-14-t-tempomat-park-senzory-vyhr-sedaciek.php
