source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
bazos,194460674,Ford S-Max 2.0 TDCi Duratorq 150 A/T Facelift 2015,,,,238000.0,110.0,Automatic,,6390.0,https://auto.bazos.sk/inzerat/194460674/ford-s-max-20-tdci-duratorq-150-at-facelift-2015.php,match,match,unknown,n/a,unknown,match,match,n/a
bazos,194374595,Ford S-Max,,,2015.0,232395.0,110.0,Automatic,Kombi,9999.0,https://auto.bazos.sk/inzerat/194374595/ford-s-max.php,match,match,unknown,n/a,match,match,match,n/a
bazos,194347331,Ford S-Max 2.0 TDCi EcoBlue 150 Family A/T- 7.MIESTNE,,,2019.0,172064.0,110.0,Automatic,Kombi,14999.0,https://auto.bazos.sk/inzerat/194347331/ford-s-max-20-tdci-ecoblue-150-family-at-7miestne.php,match,match,unknown,n/a,match,match,match,n/a
bazos,193843631,"Ford S-Max 2.0diesel, Automat,163koni,Titanium,Nová prevodov",,,,144347.0,120.0,Automatic,MPV,8300.0,https://auto.bazos.sk/inzerat/193843631/ford-s-max-20diesel-automat163konititaniumnova-prevodov.php,match,match,unknown,n/a,unknown,match,match,n/a
bazos,194479961,Ford S-Max Combi,,,2015.0,216945.0,132.0,Automatic,Kombi,10500.0,https://auto.bazos.sk/inzerat/194479961/ford-s-max-combi.php,match,match,unknown,n/a,match,match,match,n/a
bazos,194478910,Ford S Max 1.6Turbo benzin  118 kw M6 SR 1.maj,,Petrol,,136000.0,118.0,,,4990.0,https://auto.bazos.sk/inzerat/194478910/ford-s-max-16turbo-benzin-118-kw-m6-sr-1maj.php,match,unknown,match,n/a,unknown,match,match,n/a
bazos,194260239,Predám Ford S-Max 2019 r.v 2.0 TDCI ST-line,,,2019.0,208500.0,140.0,Automatic,,12000.0,https://auto.bazos.sk/inzerat/194260239/predam-ford-s-max-2019-rv-20-tdci-st-line.php,match,match,unknown,n/a,match,match,match,n/a
bazos,194465832,"Ford S-MAX 2.0i 107Kw Titanium ,odp. DPH, 7 míst",,Petrol,,166000.0,107.0,,,4200.0,https://auto.bazos.sk/inzerat/194465832/ford-s-max-20i-107kw-titanium-odp-dph-7-mist.php,match,match,match,n/a,unknown,match,match,n/a
bazos,194451786,"Ford S-MAX 2.0 TDCi 110kw AT6, 7 miestne",,,2015.0,239000.0,110.0,,,6799.0,https://auto.bazos.sk/inzerat/194451786/ford-s-max-20-tdci-110kw-at6-7-miestne.php,match,match,unknown,n/a,match,match,match,n/a
bazos,194220501,"Predám zachovalý  , FORD S-MAX 2.0 TDCI",,,2017.0,,140.0,,,10490.0,https://auto.bazos.sk/inzerat/194220501/predam-zachovaly-ford-s-max-2017.php,match,match,unknown,n/a,match,unknown,match,n/a
