row_index,brand,model,variant,fuel,year,km,power_kw,inventory_price_eur,ab_comparable_count,ab_median_eur,ab_price_diff_pct,bz_comparable_count,bz_median_eur,bz_price_diff_pct,ab_vs_bz_pct_gap,median_spread_pct,rank_source,rank_price_diff_pct,confidence_flag,sample_sufficient,missing_critical_fields,ab_tier,bz_tier,confidence_reasons,ab_example_links,bz_example_links
57,VW,Passat,"2,0 TDI DSG 140HK 6g Aut.",Diesel,2006,386000,103.0,900,7,2490.0,63.9,3,14499.0,93.8,-29.9,82.8,autobazar,63.9,MEDIUM,True,none,moderate,broad,"single usable source (AB 7/BZ 3); no cross-check; sample n=7, data complete",https://www.autobazar.eu/detail/volkswagen-passat-20-tdi-comfortline-dsg-103kw140hp-a6/AeEi7xXqd0r/ | https://www.autobazar.eu/detail/vw-passat-19-tdi-automat-po-stk-klima/AmSxpL5Qjop/ | https://www.autobazar.eu/detail/vw-passat-20-tdi-klima-tempomat/AmtM6FKh521/,https://auto.bazos.sk/inzerat/194432957/vw-passat-b85-20-tdi-110-kw-dsg.php | https://auto.bazos.sk/inzerat/193817915/volkswagen-passat-variant-20-tdi-dsg103-kw-2-sady-kolies.php | https://auto.bazos.sk/inzerat/193956701/volkswagen-passat-b8-combi-dsg-20-tdi-90kw.php
77,VW,ID.3,EL Life 204HK 5d Aut,Electric,2021,213000,150.0,9000,9,17500.0,48.6,4,16195.0,44.4,4.2,7.5,autobazar,48.6,HIGH,True,none,moderate,moderate,both sources usable (AB 9/BZ 4); median spread 7% <= 15%; inventory + comparable data complete,https://www.autobazar.eu/detail/volkswagen-id3-performance-upgrade-58kwh-1st-plus/AmNZRcesrGo/ | https://www.autobazar.eu/detail/volkswagen-id3-pro-150kw-alu-18-acc-full-led/Am53lCK6XEh/ | https://www.autobazar.eu/detail/volkswagen-id3-performance-upgrade-58kwh-1st/AmAGz58aLBS/,https://auto.bazos.sk/inzerat/194283868/volkswagen-id3-1st-plus-150kw-soh-926.php | https://auto.bazos.sk/inzerat/194316467/vw-id3-1st-edition-150kw-62kwh-2020.php | https://auto.bazos.sk/inzerat/194072870/vw-id-3-1-st-150-kw.php
6,Toyota,Auris,1.8 98HP Manual H2 Premium,Hybrid,2015,150000,72.0,7200,4,12822.5,43.8,4,8650.0,16.8,27.0,32.5,autobazar,43.8,LOW,True,none,moderate,broad,large source disagreement 33%; best sample n=4,https://www.autobazar.eu/detail/toyota-auris-18-i-vvt-i-hybridsd-active-family-73kw99hp-a1/Ae4sVj12Z3P/ | https://www.autobazar.eu/detail/toyota-auris-2017/AeySZuKHjOt/ | https://www.autobazar.eu/detail/toyota-auris-18-hybridkameraaut-klima/AbxWRyFgaZE/,https://auto.bazos.sk/inzerat/194454129/toyota-auris-14-66kw-d4d.php | https://auto.bazos.sk/inzerat/194450993/toyota-auris-16-97kw-automat.php | https://auto.bazos.sk/inzerat/194399342/predam-toyota-auris-hybrid-2014-s-lpg-plyn.php
4,Toyota,Rav4,2.5  Automatic H3 Selected,Hybrid,2019,93545,,17000,9,29990.0,43.3,3,26900.0,36.8,6.5,10.3,autobazar,43.3,MEDIUM,True,none,broad,broad,"single usable source (AB 9/BZ 3); no cross-check; sample n=9, data complete",https://www.autobazar.eu/detail/toyota-rav4-25-hybrid-e-cvt-selection-fwd-131kw176hp-a1/AevJbDwVFCg/ | https://www.autobazar.eu/detail/toyota-rav4-25-hybrid-e-cvt-awd-comfort-povodny-lak-92-260km-sr/AmFzGwgwvn_/ | https://www.autobazar.eu/detail/toyota-rav4-25-hybrid-e-cvt-black-edition-awd-131kw176hp-a1/AeFmmK5bOim/,https://auto.bazos.sk/inzerat/194004541/toyota-rav4.php | https://auto.bazos.sk/inzerat/194372892/toyota-rav4-25-hybrid-e-cvt-awd-comfort-povodny-lak-sr.php | https://auto.bazos.sk/inzerat/193577804/toyota-rav4-25hybrid-awd-executive-4x4-top-stav.php
21,Renault,Mégane,"Sport Tourer 1,6 E-TECH  Plugin-hybrid Zen 160HK Stc Aut.",PHEV,2020,99000,118.0,11500,0,,,1,15990.0,28.1,,,bazos,28.1,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=0, BZ n=1)",,https://auto.bazos.sk/inzerat/194451324/renault-megane-13-tce-160-rsline-edc-117kw-2020.php
61,Kia,Sportage,"1,6 CRDI 136 HK Intro Edition DCT aut",Diesel,2019,141000,100.0,11800,8,15695.0,24.8,5,11999.0,1.7,23.1,23.5,autobazar,24.8,MEDIUM,True,none,broad,broad,"moderate source disagreement 24%; sample n=8, data complete",https://www.autobazar.eu/detail/kia-sportage-17-crdi-servkniha-navigacia/AeLrghRFnDV/ | https://www.autobazar.eu/detail/kia-sportage-16-crdi-mhev-gold-4wd-at/AmqivipkEO0/ | https://www.autobazar.eu/detail/kia-sportage-16-crdi-mhev-4wd-at-gold-v-zaruke-povodny-lak-sr/AmjCsyARTX1/,https://auto.bazos.sk/inzerat/194376967/kia-sportage-17-crdi-silver.php | https://auto.bazos.sk/inzerat/194392876/kia-sportage-2022-16-crdi-mhev-neburane.php | https://auto.bazos.sk/inzerat/194373637/kia-sportage-17-crdi-2wd-gold.php
14,BMW,X1,1.5 139HP Automatic sDrive 18i,Petrol,2018,119000,102.0,11500,2,16550.0,30.5,4,15045.0,23.6,6.9,9.1,bazos,23.6,LOW,True,none,broad,broad,60% of comparables missing year/km; best sample n=4,https://www.autobazar.eu/detail/bmw-x1-sdrive-18i-140k-xline-at-103kw140hp-a6/AeNbL8OsfPl/ | https://www.autobazar.eu/detail/bmw-x1-sdrive-18i-at-103kw140hp-a7/AeQsVgfz4x8/,https://auto.bazos.sk/inzerat/194137635/bmw-x1.php | https://auto.bazos.sk/inzerat/194436274/bmw-x1-f48-x2-f39-orig-18-letna-sada.php | https://auto.bazos.sk/inzerat/193462843/ford-ranger-limited-22tdci-doublecab-duratorq-4x4.php
3,Honda,Jazz,1.3 101HP Manual Comfort,Petrol,2017,84748,74.0,6000,3,6900.0,13.0,4,7695.0,22.0,-9.0,10.3,bazos,22.0,LOW,True,none,broad,broad,100% of comparables missing year/km; best sample n=4,https://www.autobazar.eu/detail/honda-jazz-12-i-vtec-sr2maj-servkniha-klima/Aeu4ack3AfZ/ | https://www.autobazar.eu/detail/honda-jazz-12-i-vtec-sr2maj-servkniha-klima/AeGP-GnmS9X/ | https://www.autobazar.eu/detail/honda-jazz-15-i-vtec-dynamic/AmINI7SdreX/,https://auto.bazos.sk/inzerat/194471063/honda-jazz-13-benzin.php | https://auto.bazos.sk/inzerat/194375924/honda-jazz.php | https://auto.bazos.sk/inzerat/194325548/honda-jazz-13-i-vtec-trend.php
0,Hyundai,I30,1.0 119HP Automatic Advanced,Petrol,2023,122000,88.0,11600,4,12750.0,9.0,4,10990.0,-5.6,14.6,13.8,autobazar,9.0,HIGH,True,none,moderate,moderate,both sources usable (AB 4/BZ 4); median spread 14% <= 15%; inventory + comparable data complete,https://www.autobazar.eu/detail/hyundai-i30-10-t-gdi-family-automat-sr2maj/AexjIfdhNIHq/ | https://www.autobazar.eu/detail/hyundai-i30-rv-20225-15l-81kw-odpocet-dph-zaruka-3roky/AeQ6rKyfStD/ | https://www.autobazar.eu/detail/hyundai-i30-15i-cvvt-comfort/AmCLHBbUbDL/,https://auto.bazos.sk/inzerat/194354609/hyundai-i30-cw-15i-cvvt-comfort.php | https://auto.bazos.sk/inzerat/194131136/hyundai-i30-cw-10-t-gdi-family-povodny-lak-137-420km-sr.php | https://auto.bazos.sk/inzerat/194160059/hyundai-i30-cw-10-t-gdi-comfort-v-zaruke-povodny-lak-sr.php
41,Dacia,Duster,1.3 148HP Automatic Journey,Petrol,2024,24000,109.0,17600,2,15095.0,-16.6,1,17499.0,-0.6,-16.0,13.7,autobazar,-16.6,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=2, BZ n=1)",https://www.autobazar.eu/detail/dacia-duster-13-tce-150-extreme-4x2-edc/AelDbsPlLjG/ | https://www.autobazar.eu/detail/dacia-duster-tce-96-ss-gpf-celebration-4x4-96kw130hp-m6/Ae-WUTVZ3pm/,https://auto.bazos.sk/inzerat/194251533/dacia-duster-13-tce-4x4-journey-47-930kmslovenske-vozidlo.php
