Good to go,Registratio,Fuel,Brand,Model,Variant,Kar.,Vin,Colour, Km, Price,
Immidiatly ready,12/28/2023,Benzin,Hyundai,I30,1.0 119HP Automatic Advanced,Stationcar,TMAH381BGNJ153297,Metallic,"  122,000 ","  11,600 ",https://www.dropbox.com/scl/fo/tgwktkax1etjv1qrp8tcl/ALrZiG6CiNv8EMaPd-YtVk0?rlkey=tdvrt3qb9kdt4p0whrsfc3478&dl=0
1 week,6/25/2020,Benzin,Nissan,X-Trail,1.3 157HP Automatic Acenta,SUV,JN1JGAT32U0051563,Brown,"  80,809 ","  12,950 ",https://www.dropbox.com/scl/fo/u0ozr8cc44wp4jlm4dduk/ABIkUiqlgGn5yIxOvTRjKMw?rlkey=dsqvbrq49rvw2y2n9h98crf0m&dl=0
1 week,1/23/2020,Benzin,Mazda,Cx-5,2.0 163HP Manual Optimum,SUV,JMZKF6W7600849116,Red,"  100,012 ","  15,950 ",https://www.dropbox.com/scl/fo/tasrnbekvasnealck3wzb/AN0JLylJeZjmo3kmCBhEuXM?rlkey=z3zdcbsm3zz3fih4hwg86eh33&dl=0
1 week,8/19/2017,Benzin,Honda,Jazz,1.3 101HP Manual Comfort,Hatchback,JHMGK3750HX220455,White,"  84,748 ","  6,000 ",https://www.dropbox.com/scl/fo/exh9h37zh9xn1cutembl9/AFMcWkE2m-Od10ax3AAQwbI?rlkey=4ma9bc7bms4x568chdu2ee7ur&dl=0
Immidiatly ready,1/29/2019,Hybrid,Toyota,Rav4,2.5  Automatic H3 Selected,SUV,JTMYRREV70D098986,Grey,"  93,545 ","  17,000 ",https://www.dropbox.com/scl/fo/zijeaxxobrcjhey0xqqgz/AL7Jt7Flpi1MeFSaWomMJp4?rlkey=37tvnf1223n4c3e086gak4u5i&dl=0
1 week,4/3/2019,Benzin,Subaru,Impreza,2.0 154HP Automatic Active,Hatchback,JF1GT7LL5JG031475,Blue,"  66,220 ","  11,000 ",https://www.dropbox.com/scl/fo/e1s3kmgi3oo7p3lyto40g/AGMDamhtDhZI6qDt9Z5VObE?rlkey=40t3j4i0ull499idmz317k8cq&dl=0
Immidiatly ready,6/9/2015,Hybrid,Toyota,Auris,1.8 98HP Manual H2 Premium,Hatchback,SB1MS3JE60E150094,White,"  150,000 ","  7,200 ",https://www.dropbox.com/scl/fo/l3csjb9ky0ejw56tf5g7o/AKi61Vh45Xw1ff6i79aUudk?rlkey=2g0mb1jmtahcwguxbxjaquqov&dl=0
1 week,6/6/2024,Benzin,Peugeot,2008,1.2 100HP Manual Allure,SUV,VR3USHNKKRJ550704,Grey,"  42,385 ","  13,400 ",https://www.dropbox.com/scl/fo/1tadzhk9cga1zxnzafv9t/ANGKdTxnurYUk5w5GYdvM6Q?rlkey=3xcwjvw16l8qwp8gbb34jziox&dl=0
1 week,6/8/2020,Benzin,Skoda,Karoq,1.5 148HP Automatic STYLE,SUV,TMBJR7NUXL5022139,Grey,"  112,000 ","  15,000 ",https://www.dropbox.com/scl/fo/0f1h6a4htn7we3j2ki5x2/AE_bqXwkfS2ba7MgXetHXzM?rlkey=n8gmm3jonsxsv36pr6u3iv03n&dl=0
1 week,16.6.2016,Petrol,Seat,Toledo,"1,2 TSI Style Start/Stop 110HK 5d 6g",hatchback,VSSZZZNHZH1006067,White,"  160,000 ","  4,500 ",https://www.dropbox.com/scl/fo/rz5uahefvco0q8ggljr8t/AFWpLP9oRWD_LgTVAKgyzH0?rlkey=kenha0r8ncjeuqh2yeu0wsqlv&e=1&dl=0
1 week,10/29/2018,Benzin,Volkswagen,Golf Sportsvan,1.5 130HP Automatic Comfortline,Hatchback,WVWZZZAUZJW691203,Grey,"  63,910 ","  13,000 ",https://www.dropbox.com/scl/fo/4j6av9sgndx32kb6pben9/ALIJeHktL7k3IrCfY-eUmUg?rlkey=k2wttjdi7fmf2nb6b343vqyz6&dl=0
1 week,2/26/2021,Benzin,Skoda,Kamiq,1.0 109HP Automatic Dynamic,SUV,TMBGR7NW7M3066107,Black,"  113,100 ","  12,850 ",https://www.dropbox.com/scl/fo/axxjrl1o7tipfb01sjthl/AERux-3jfjne75O6ptTNnro?rlkey=y3mldn8nonhowdfu2vpyk98kl&dl=0
1 week,10/23/2019,Benzin,Skoda,Superb,1.5 148HP Automatic Business Executive,Stationcar,TMBJN7NP5L7010099,Grey,"  92,386 ","  16,000 ",https://www.dropbox.com/scl/fo/0os41858nnagheuv0gj58/AAEGHaFTLs23Mb6RexaX3tU?rlkey=cxnp38btz6zvxf01fxpg96oo4&dl=0
1 week,1/14/2022,Benzin,Nissan,Qashqai,1.3 156HP Automatic N-Connecta,SUV,SJNTAAJ12U1052042,White,"  79,000 ","  18,500 ",https://www.dropbox.com/scl/fo/i5vzja4xgld281rp9mnb6/AD5mSuK4VAMhvCLJ7TyDwnQ?rlkey=6hhaaf9tje43rgxd9ums3gcf0&dl=0
1 week,6/29/2018,Benzin,BMW,X1,1.5 139HP Automatic sDrive 18i,SUV,WBAJG1105JED61717,Grey,"  119,000 ","  11,500 ",https://www.dropbox.com/scl/fo/i5uxvj28icg8f5rf8dhw8/AJ78SDioxO-nPnadtNrrtMM?rlkey=vhavxwwhxn4md0ra94t8r3swn&dl=0
1 week,10/1/2017,Benzin,Volkswagen,Passat,1.4 148HP Automatic Highline Premium,Stationcar,WVWZZZ3CZJE055282,Black,"  87,000 ","  10,800 ",https://www.dropbox.com/scl/fo/ylhki39y3galmp1x8nkyb/AF-0U6nJ0tVvirRlUZ0ieHE?rlkey=e5whpmbyjfzsd90bgefyirwsz&dl=0
1 week,1/24/2018,Benzin,Nissan,Qashqai,1.2 115HP Manual Visia,SUV,SJNFEAJ11U2113785,White,"  118,345 ","  7,000 ",https://www.dropbox.com/scl/fo/tph65q3iizrneeq5ttkq1/ANLl6NhtgAI5mnFGNh0piRg?rlkey=f3hatu9fw43w5cfv66kvqr1s2&dl=0
1 week,1/18/2016,Diesel,Seat,Leon,1.6 109HP Automatic Stylance,Stationcar,VSSZZZ5FZGR064837,,"  213,000 ","  6,000 ",https://www.dropbox.com/scl/fo/m2a91t7utsfbez8vmcv2p/AOKfhXtC1t0Iiq6UON4qaks?rlkey=wsr0i03haejf8wgz45mtwlbuy&dl=0
1 week,2/3/2020,Benzin,Suzuki,Vitara,1.4 139HP Manual Active,SUV,TSMLYDA1S00685163,Black,"  76,000 ","  13,000 ",https://www.dropbox.com/scl/fo/pwh0cfxuhnl9r22dxt3nz/AFR1VpN4hvjhjik43VdpYHg?rlkey=mxbl6bj35zmbk4e9mosaun14p&dl=0
Immidiatly ready,9.5.2018,Petrol,Audi,Q3,1.4 tfsi 150HP man.,suv,WAUZZZ8U2JR069081,Black,"  96,000 ","  10,800 ",https://www.dropbox.com/scl/fo/2vlif3okax2lw0cu2tr46/AN8SD_9n481JK0IgT3TbElY?rlkey=19pg4fh7c8u19mmvqfo7v5jjm&dl=0
Immidiatly ready,29.8.2019,Petrol,Mazda,3,2.0 skyactiv-g 122 hk 4-dørs man. sky,hatchback,JMZBP6SE601118448,Grey,"  116,000 ","  10,250 ",https://www.dropbox.com/scl/fo/snjh539p8nkdgg9ob0ohq/AKa9iicwvFKHkBCTs0hZEbY?rlkey=ydqmsqd5mursm0u2rsqqyif34&dl=0
1 week,16.12.2020,PHEV,Renault,Mégane,"Sport Tourer 1,6 E-TECH  Plugin-hybrid Zen 160HK Stc Aut.",stationcar,VF1RFB00966826545,White,"  99,000 ","  11,500 ",https://www.dropbox.com/scl/fo/8ggjb48oru0ix295ydv8k/AIXo5iZ1eYx9mdhzGhmjp-U?rlkey=bol1dtw0ioifb0s5fzmj8kz10&dl=0
1 week,3.9.2014,Diesel,Opel,Insignia,"Sports Tourer 2,0 CDTI Edition Start/Stop 140HK Stc 6g",stationcar,W0LGM8GS1E1135514,Bour,"  343,000 ","  2,400 ",ask for pictures
1 week,15.6.2018,Petrol,Toyota,Verso,"7 pers. 1,8 VVT-I T2 Premium 147HK 6g",mpv,NMTDG26R00R109147,Grey,"  258,000 ","  7,100 ",https://www.dropbox.com/scl/fo/tbuzfyvjjanrv12cysjtq/AA2zGGEG9bxCWhTkhlt1K_g?rlkey=vrm6ed9xb7r6q9qj5fgvsiek4&dl=0
1 week,1.8.2018,PHEV,VW,Golf,"1,4 TSI  Plugin-hybrid GTE DSG 204HK 5d 6g Aut.",hatchback,WVWZZZAUZJW812921,Grey,"  177,000 ","  9,900 ",https://www.dropbox.com/scl/fo/kxsxvlw5wwim8ptmijfm1/ADVNGLyDtG-8NXkgpRR-0CU?rlkey=haqs396wv5xdi7y2eyuz7i6r6&dl=0
